Model Name,Feature Count,CV Score (Mean +/- Std)
Naive Bayes,47,0.6276 +/- 0.0703
Naive Bayes,48,0.6207 +/- 0.0723
Naive Bayes,44,0.6138 +/- 0.0798
Naive Bayes,46,0.6138 +/- 0.0798
Naive Bayes,45,0.6069 +/- 0.0889
Naive Bayes,43,0.6069 +/- 0.0833
Naive Bayes,49,0.6069 +/- 0.0560
Naive Bayes,42,0.6000 +/- 0.0889
Naive Bayes,51,0.6000 +/- 0.0640
Naive Bayes,50,0.6000 +/- 0.0640
Naive Bayes,52,0.6000 +/- 0.0468
Naive Bayes,54,0.5931 +/- 0.0402
Naive Bayes,16,0.5862 +/- 0.0786
Naive Bayes,53,0.5862 +/- 0.0436
Naive Bayes,13,0.5793 +/- 0.0961
XGBoost,21,0.5793 +/- 0.0669
Naive Bayes,41,0.5793 +/- 0.0669
Naive Bayes,40,0.5793 +/- 0.0669
Naive Bayes,38,0.5793 +/- 0.0669
Naive Bayes,39,0.5793 +/- 0.0669
Naive Bayes,55,0.5793 +/- 0.0338
Random Forest,21,0.5793 +/- 0.0138
Naive Bayes,17,0.5724 +/- 0.0804
Naive Bayes,60,0.5724 +/- 0.0710
Naive Bayes,64,0.5724 +/- 0.0601
Naive Bayes,31,0.5724 +/- 0.0560
Naive Bayes,63,0.5724 +/- 0.0516
Naive Bayes,62,0.5724 +/- 0.0468
Naive Bayes,36,0.5724 +/- 0.0468
Naive Bayes,25,0.5724 +/- 0.0414
Naive Bayes,56,0.5724 +/- 0.0352
Naive Bayes,14,0.5655 +/- 0.0941
Naive Bayes,66,0.5655 +/- 0.0710
Naive Bayes,67,0.5655 +/- 0.0710
Naive Bayes,68,0.5655 +/- 0.0710
SVM(linear),2,0.5655 +/- 0.0710
Naive Bayes,59,0.5655 +/- 0.0640
Naive Bayes,35,0.5655 +/- 0.0468
Naive Bayes,61,0.5655 +/- 0.0468
Naive Bayes,30,0.5655 +/- 0.0352
XGBoost,20,0.5586 +/- 0.0736
Random Forest,42,0.5586 +/- 0.0703
Naive Bayes,57,0.5586 +/- 0.0669
Random Forest,7,0.5586 +/- 0.0669
Naive Bayes,69,0.5586 +/- 0.0669
Naive Bayes,65,0.5586 +/- 0.0632
ANN,42,0.5586 +/- 0.0402
Naive Bayes,33,0.5586 +/- 0.0258
Naive Bayes,15,0.5517 +/- 0.0845
Naive Bayes,70,0.5517 +/- 0.0786
XGBoost,18,0.5517 +/- 0.0755
XGBoost,19,0.5517 +/- 0.0755
Naive Bayes,58,0.5517 +/- 0.0577
Naive Bayes,26,0.5517 +/- 0.0436
Random Forest,24,0.5517 +/- 0.0378
ANN,13,0.5517 +/- 0.0308
ANN,45,0.5517 +/- 0.0218
Naive Bayes,71,0.5448 +/- 0.0798
Naive Bayes,12,0.5448 +/- 0.0768
Random Forest,15,0.5448 +/- 0.0703
ANN,8,0.5448 +/- 0.0669
Logistic Regression,20,0.5448 +/- 0.0632
Logistic Regression,8,0.5448 +/- 0.0593
Logistic Regression,13,0.5448 +/- 0.0593
Naive Bayes,27,0.5448 +/- 0.0507
Naive Bayes,34,0.5448 +/- 0.0338
Random Forest,38,0.5379 +/- 0.1226
Naive Bayes,18,0.5379 +/- 0.0889
Logistic Regression,2,0.5379 +/- 0.0804
Naive Bayes,79,0.5379 +/- 0.0774
Logistic Regression,19,0.5379 +/- 0.0710
XGBoost,66,0.5379 +/- 0.0640
XGBoost,51,0.5379 +/- 0.0640
XGBoost,78,0.5379 +/- 0.0640
XGBoost,79,0.5379 +/- 0.0640
XGBoost,53,0.5379 +/- 0.0640
XGBoost,45,0.5379 +/- 0.0640
XGBoost,80,0.5379 +/- 0.0640
XGBoost,52,0.5379 +/- 0.0640
Logistic Regression,21,0.5379 +/- 0.0640
XGBoost,46,0.5379 +/- 0.0640
XGBoost,81,0.5379 +/- 0.0640
XGBoost,67,0.5379 +/- 0.0640
XGBoost,82,0.5379 +/- 0.0640
XGBoost,47,0.5379 +/- 0.0640
XGBoost,83,0.5379 +/- 0.0640
XGBoost,50,0.5379 +/- 0.0640
ANN,19,0.5379 +/- 0.0640
XGBoost,84,0.5379 +/- 0.0640
XGBoost,49,0.5379 +/- 0.0640
XGBoost,48,0.5379 +/- 0.0640
XGBoost,44,0.5379 +/- 0.0640
XGBoost,77,0.5379 +/- 0.0640
XGBoost,54,0.5379 +/- 0.0640
XGBoost,61,0.5379 +/- 0.0640
XGBoost,65,0.5379 +/- 0.0640
XGBoost,68,0.5379 +/- 0.0640
XGBoost,64,0.5379 +/- 0.0640
XGBoost,63,0.5379 +/- 0.0640
XGBoost,69,0.5379 +/- 0.0640
XGBoost,85,0.5379 +/- 0.0640
XGBoost,70,0.5379 +/- 0.0640
XGBoost,62,0.5379 +/- 0.0640
XGBoost,71,0.5379 +/- 0.0640
XGBoost,72,0.5379 +/- 0.0640
XGBoost,43,0.5379 +/- 0.0640
XGBoost,60,0.5379 +/- 0.0640
XGBoost,73,0.5379 +/- 0.0640
XGBoost,74,0.5379 +/- 0.0640
XGBoost,59,0.5379 +/- 0.0640
XGBoost,75,0.5379 +/- 0.0640
XGBoost,58,0.5379 +/- 0.0640
XGBoost,57,0.5379 +/- 0.0640
XGBoost,56,0.5379 +/- 0.0640
XGBoost,55,0.5379 +/- 0.0640
XGBoost,143,0.5379 +/- 0.0640
XGBoost,76,0.5379 +/- 0.0640
XGBoost,100,0.5379 +/- 0.0640
XGBoost,134,0.5379 +/- 0.0640
XGBoost,120,0.5379 +/- 0.0640
XGBoost,125,0.5379 +/- 0.0640
XGBoost,99,0.5379 +/- 0.0640
XGBoost,126,0.5379 +/- 0.0640
XGBoost,127,0.5379 +/- 0.0640
XGBoost,98,0.5379 +/- 0.0640
XGBoost,97,0.5379 +/- 0.0640
XGBoost,128,0.5379 +/- 0.0640
XGBoost,96,0.5379 +/- 0.0640
XGBoost,95,0.5379 +/- 0.0640
XGBoost,94,0.5379 +/- 0.0640
XGBoost,129,0.5379 +/- 0.0640
XGBoost,93,0.5379 +/- 0.0640
XGBoost,130,0.5379 +/- 0.0640
XGBoost,131,0.5379 +/- 0.0640
XGBoost,92,0.5379 +/- 0.0640
XGBoost,132,0.5379 +/- 0.0640
XGBoost,91,0.5379 +/- 0.0640
XGBoost,90,0.5379 +/- 0.0640
XGBoost,124,0.5379 +/- 0.0640
XGBoost,101,0.5379 +/- 0.0640
XGBoost,102,0.5379 +/- 0.0640
XGBoost,110,0.5379 +/- 0.0640
