,IGHV3-33,IGHV3OR16-13,IGKV1-12,IGLV2-8,IGLV2-11,IGHV1-3,IGHV1OR15-1,IGHV2-70,IGKV2-40,IGLV10-54,IGHV4-34,IGHV3-7,IGLV6-57,IGKV1-33,IGKV1-39,IGKV4-1,IGLV2-18,IGHV4-31,IGKV1-16,IGLV4-60,IGKV1-6,IGKV3-20,IGKV2-28,IGHV3-72,IGHV3-13,IGKV1D-33,IGKV1D-39,IGHV1-46,IGLV7-43,IGLV3-1,IGKV2-30,IGHV3-11,IGHV1-18,IGHV3-48,IGKV3-15,IGHV6-1,IGHV2-5,IGLV3-10,IGLV3-9,IGHV3-21,IGLV2-23,IGKV2D-24,IGHV3-53,IGLV5-48,IGHV7-4-1,IGLV3-12,IGLV3-19,IGLV1-44,IGLV3-21,IGHV1-69D,IGHV2-26,IGLV1-51,IGLV1-40,IGHV5-51,IGKV3D-15,IGHV3-74,IGHV4-59,IGLV2-14,IGLV8-61,IGHV3-73,IGHV3-15,IGLV3-25,IGKV1D-12,IGKV3D-20,IGKV6D-21,IGLV4-69,IGLV4-3,IGKV3OR2-268,IGHV3-30,IGLV7-46,IGLV1-47,IGKV1-5,IGKV1D-16,IGHV3-66,IGHV4-61,IGKV2D-30,IGHV3-20,IGKV1-9,IGLV9-49,IGKV1-8,IGKV2D-28,IGKV3-11,IGHV3-23,IGLV3-27,IGHV1-69,IGKV1D-43,IGKV1-27,IGHV4-4,IGKV1D-17,IGHV1-24,IGKV2D-40,IGHV3-49,IGKV2-24,IGKV2D-29,IGHV5-10-1,IGKV1D-13,IGLV3-16,IGHV1-2,IGKV1-17,IGHV3-64,IGLV1-36,IGKV3D-11,IGLV5-52,IGHV3-43,AC135068.9,IGKV1D-37,AC135068.3,IGLV5-37,IGHV4-39,IGHV1-58,IGKV2D-26,IGLV5-45,IGKV1D-8,IGKV1OR2-108,IGHV4-28,IGHV3-64D,IGKV5-2,IGLV11-55,IGKV3D-7,IGKV1-37,Diagnosis
RNA1_FPKM,7.925607423,1.125244728,1.596829705,13.82925311,12.90916728,5.631351338,11.02716846,0.221905804,0.0,3.661332432,0.993028473,10.53053183,9.226776894,0.675146837,5.18969654,47.84180721,3.246959583,0.371225597,1.05082378,3.730714704,2.299644884,8.142630609,4.888755557,1.502962013,1.662745349,1.351766507,12.67674341,0.727715522,2.063435787,6.187715105,4.888755557,4.030897817,6.393936637,1.287259131,5.931027197,3.637116333,8.406375571,4.991137873,2.240237769,12.56277615,13.13471696,2.648075927,0.0,0.0,7.114031977,0.892609863,9.482284761,9.526095098,7.917700203,0.0,0.625529746,20.42176218,9.368914467,2.325139838,5.617130754,5.54864096,4.654194053,31.0255605,6.332159471,1.636110985,6.544258249,5.853641522,3.854342319,4.10600537,0.97117699,4.739992709,0.39425448,0.453955873,4.976662415,4.333215153,12.29676254,7.316899372,0.840659024,0.186047489,0.0,6.033590719,0.574281526,1.553883184,5.438591146,1.796433418,11.42949824,8.91678336,13.2401918,0.842888889,0.578463188,0.29865518,0.831856312,5.334253666,2.837224207,1.546321709,0.493430297,0.723847634,1.629585186,2.950713176,0.0,1.901543884,0.619030736,2.095599654,1.05082378,0.0,0.606429602,3.578480982,0.628830695,0.183046723,0.225048946,0.225048946,0.0,0.212412507,1.308461046,0.0,0.0,0.0,0.0,0.0,0.0,0.225048946,0.0,0.0,0.0,0.0,0
RNA102_FPKM,7.51864466,0.640393174,1.325483622,9.329135963,11.86952591,2.861868084,11.31483603,0.841932181,0.120372093,0.631549653,0.565146976,15.24766651,4.483363865,0.213464391,2.272128473,26.89482882,6.981709827,0.880459395,0.598039128,1.040985141,0.793188738,9.60857815,1.932310954,0.814723529,1.752561097,0.986389099,7.61641276,0.230085283,2.93620232,3.408283124,1.545885671,5.735715364,5.146580379,1.046735072,3.409960506,1.452760028,9.171075686,0.394517959,1.961620677,4.206247058,5.704723501,1.159460388,0.0,0.0,2.81203456,0.211665534,5.997018,8.714265569,1.502171316,0.366680925,1.384625936,11.81756435,7.406577538,1.838051883,4.377104305,5.135395329,1.37019867,29.05739207,2.184316744,1.379623367,4.311302437,4.363106249,1.625055018,2.878974727,2.395432843,3.237462252,0.0,0.0,3.322156876,4.306442531,6.295546699,7.366135696,0.598039128,0.0,0.0,6.868337638,0.181573326,0.736947972,0.368473986,0.0,3.972105794,4.998449222,19.53827723,0.0,0.365790923,0.0,0.591776938,0.542107411,1.274902898,0.366680925,0.702157688,0.343293531,3.091771341,0.968926202,1.470476614,2.004258702,0.0,4.879484473,0.398692752,0.0,0.0,4.413045259,0.795281585,0.0,0.213464391,0.0,0.0,0.0,0.531903036,0.0,0.0,0.0,0.282220712,0.0,0.0,1.494454622,0.184688554,0.0,0.196231589,0.0,1
RNA104_FPKM,11.85122435,3.145642064,0.929993005,18.61409705,14.80529003,3.560773499,9.227171708,1.240727789,0.0,0.516951419,1.66557775,9.468626459,7.759115388,0.943670113,3.161856451,18.71313889,1.613590647,0.0,1.958397969,0.613399313,0.974045306,14.62038031,3.986133838,2.200751464,3.615330691,0.968945592,9.253303629,0.452051731,1.538150046,7.439944043,5.124854615,7.355691679,13.18041848,1.884994826,6.531797278,8.740551395,7.833591876,2.131721897,1.927030579,12.73956956,12.82936234,0.569360388,1.037106423,0.0,4.603696718,0.831724393,8.050561315,12.20570763,4.672775855,0.0,0.971488756,11.22777188,8.912355845,2.5277276,3.551781647,7.314412145,3.589177269,24.85976465,12.33786883,1.185867004,8.469959179,4.870226528,2.593867881,3.3270761,3.076818747,2.473432735,0.0,0.423104756,2.232772584,2.115111077,6.547920996,6.53992888,0.587435321,2.080470953,0.647907842,6.934095524,0.0,0.0,0.181035042,0.557915958,4.956185419,6.798479197,22.4479896,0.588993505,0.0,0.417388255,2.131721897,7.278325218,3.756942293,1.080731262,0.0,1.348947079,0.0,2.009293617,0.0,0.98440749,0.0,7.455887166,1.370962648,0.0,0.0,6.502374768,0.58588536,1.023457485,0.419508965,0.419508965,0.209754483,0.0,1.393382983,0.178848629,0.569360388,0.373014269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RNA108_FPKM,2.798565282,0.227724324,1.818364276,4.977053474,5.427817365,2.442899517,8.200668352,0.898388306,0.128413237,8.535221511,2.211396558,2.431004641,4.100334176,0.569526867,2.222509103,22.56886713,1.095602093,0.0,3.616283094,0.0,0.846376352,9.448295707,2.474218742,0.108630657,0.747960497,0.736726886,6.41585977,0.368299736,4.177120355,8.485508328,2.268099033,3.399981685,4.510799181,1.302915141,4.366268368,5.231631195,5.105530737,3.157543552,2.093156853,6.919122359,4.164669306,2.268099033,0.281698145,0.0,2.800295229,0.0,7.251953016,9.470322438,2.003623981,0.0,0.844154892,9.301975943,10.27372052,0.784446375,2.436730579,5.068522342,0.974692232,12.80186458,1.165392886,0.0,3.1280435,4.655370994,2.384255049,2.168416426,0.196544465,2.686679432,0.399130623,0.0,0.93291408,3.132939316,8.693076058,6.499427198,0.850854534,0.0,0.0,3.460645594,0.387589496,4.915103436,0.393275406,1.616387678,1.947229358,5.333326509,8.003924234,0.639884157,0.0,0.0,1.894526131,0.0,0.604554537,1.173899403,0.499414618,0.366400093,4.536002507,1.033869974,0.392316197,0.641585977,0.0,3.471026293,1.063719493,0.559713056,0.0,2.173300246,0.0,0.18522278,0.0,0.227724324,0.0,0.0,0.756760032,0.0,0.0,0.202485356,0.0,0.0,0.0,0.455664705,0.197026192,0.0,0.0,0.0,0
RNA110_FPKM,7.842770124,0.0,0.943634178,21.64842008,12.39416834,2.472151663,21.70481573,0.629517042,0.119967493,1.049068165,0.938916007,6.11403016,1.915108088,1.383144344,3.397151532,15.07905977,1.023341697,0.0,0.0,0.207457599,1.976665279,6.009335041,1.733418346,0.202972029,0.524109538,1.179843267,5.393881556,0.802799776,2.341299367,4.907034709,0.962990777,0.794009309,8.793982624,0.173841784,6.118101286,1.809958568,0.596209262,2.556282479,1.303543393,3.668449793,3.441499428,0.385126415,1.052422949,0.0,0.373630104,0.421908151,6.575155616,5.307995005,1.122978663,2.924250628,0.788626646,8.689547361,3.137510219,1.282521593,3.414308863,1.535605206,0.151716466,23.73059731,1.814330449,1.031272434,2.234553563,4.151140555,2.632075221,2.363145074,0.183617728,5.378201828,0.0,0.0,1.917170778,5.267790818,8.858803135,7.342104564,0.0,0.879546611,0.986140161,3.613078382,0.0,4.407825213,0.367235457,0.37738518,2.782051017,5.173723125,18.25733115,0.796994037,0.547007527,0.0,0.393191889,1.260992454,0.0,0.548338446,0.233228729,0.0,1.348291931,1.502285083,3.114552827,0.0,0.390128057,0.900638856,1.39109485,0.0,0.573453184,4.39864823,0.0,0.34608134,0.0,0.0,0.0,0.0,1.767371308,0.0,0.192563207,0.0,0.0,0.0,0.0,1.489614315,0.184067772,0.0,0.0,0.0,0
RNA114_FPKM,1.298793976,0.396491007,0.0,5.549094162,4.023399872,1.594331308,3.369804732,0.390953423,0.111790196,0.195476712,0.874595539,2.440883127,2.378577214,0.3963988,3.516125528,10.4048365,0.953237644,0.0,1.110631953,0.0,0.368319278,4.373303185,1.973646646,1.040165124,0.0,0.457903423,3.535910627,0.106840707,1.090438645,2.109642604,1.076458662,1.923083339,2.047896967,0.971802959,2.532942099,0.337256206,1.48090001,0.366390905,0.758868146,3.091866037,3.345300023,0.897021065,0.367674235,0.0,0.696163067,0.786116721,2.227155853,2.397345627,0.232493896,0.0,0.734534259,5.756094641,3.954201348,0.51205363,1.767024064,0.595976517,0.70674387,9.399253983,0.675984427,0.320277633,2.401784313,5.339944281,1.50884152,2.987645833,0.0,4.675890607,0.0,0.999537759,0.811689595,1.2722066,3.610316027,2.235979456,0.0,0.49166742,0.0,1.771497543,0.0,1.53975762,0.0,1.054821302,2.292535539,4.819598469,4.859165485,0.3712502,0.0,0.0,1.099002299,1.678037241,0.0,0.510807757,0.108665625,0.478227764,0.0,0.199944751,0.341369087,1.11653957,0.0,1.845856576,1.48090001,0.0,0.0,1.103152119,0.0,0.322491533,0.0,0.0,0.0,0.0,0.658488359,0.0,0.0,0.0,0.0,0.0,0.0,1.189288607,0.0,0.0,0.0,0.0,0
RNA115_FPKM,1.809283758,0.221015544,0.39185995,2.564217731,3.899006499,2.763852708,25.84621407,0.653571919,0.0,0.980250736,3.314251417,3.445722853,0.662829312,0.331414656,1.175579849,9.131573506,0.63754427,0.0,0.41259328,0.430829447,0.0,3.704152067,1.39974171,0.210757108,0.181438342,0.714527836,6.844102784,0.238107267,1.417920174,3.330905947,1.59959241,1.978354249,1.90195439,1.263655711,0.882214948,1.315419921,1.237779841,1.837328605,1.184163269,2.176189674,2.330159974,0.0,0.273135306,0.0,2.71572592,0.438090618,5.99857328,5.176493333,3.367912591,0.0,1.228033543,6.214453436,4.023639034,0.0,1.575356161,1.461362499,0.945213697,16.29454635,3.01372483,0.713776934,2.141330801,2.257420492,1.051048537,1.57721242,0.572075176,4.46664229,0.967590588,0.0,2.714014633,2.228103343,4.598336903,3.664551892,0.41259328,0.730493021,0.0,0.789672202,0.0,0.0,1.716037963,0.0,3.998981025,4.177604813,4.151808673,1.241063077,0.0,0.0,0.816545864,3.740054196,0.0,0.569291356,0.0,0.0,0.0,0.668401114,0.0,2.073939627,0.0,0.561100113,0.0,0.0,0.396845445,1.05378554,0.0,0.0,0.883627535,0.0,0.0,0.0,0.550538229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RNA116_FPKM,3.687660389,0.225019178,1.19808885,11.68191622,8.542853698,1.609374437,4.502497528,0.443984509,0.0,1.10984547,0.794732271,6.837911899,3.601951046,0.675409862,2.994909636,15.8048577,0.866193211,0.185588248,0.420493265,0.439078603,0.0,8.741433123,4.890234927,0.644377517,0.0,0.936148674,6.551762644,0.242666342,3.302568102,1.797029112,3.667782496,2.520029672,6.977732553,1.471534496,10.60757304,2.106419375,1.261479795,3.952531265,0.689572469,8.316290742,4.432439303,0.0,0.0,0.0,2.96510954,0.0,3.583343472,4.083922102,1.980023314,2.900180134,0.834364589,5.924206427,6.248101814,0.581410303,7.02362541,2.16607959,1.123780066,27.47758925,4.030950235,3.091351234,5.63721454,6.69204589,2.784664407,5.357372998,0.0,4.741542496,0.0,0.908265452,1.29065228,1.444860084,1.561923593,2.539324228,0.210136958,0.372239939,0.0,8.852084175,0.0,1.554285825,0.0,0.598940262,11.54656519,11.96057981,31.08801357,0.0,0.192795558,0.0,0.624026765,5.907584542,3.286175127,0.0,0.0,2.172200025,0.0,1.589346093,2.519781695,1.05671457,0.825695866,1.14349967,0.0,0.0,0.0,5.190352027,1.048350075,0.183022512,0.0,0.0,0.0,0.0,0.186898282,0.383928633,0.0,0.600448927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RNA126_FPKM,10.04934574,0.681732615,2.619928273,8.532853424,8.221571917,2.030581873,3.635646079,0.448140806,0.0,0.112035202,3.409000675,5.969009135,2.953913464,1.136090425,7.85978482,19.82876196,5.682460233,0.0,2.334119164,0.0,2.321834327,6.216141809,3.496410949,0.542008137,3.730603906,1.574824426,14.29255178,0.489876057,2.708393384,3.627450429,2.056614974,6.274333931,6.260180312,2.228042242,5.6254677,5.991461984,6.365713014,1.889692763,1.913876451,17.72069019,3.355332438,0.822740557,0.702427359,0.0,0.0,0.0,6.170065036,6.526717674,1.465609708,0.0,1.684108743,8.660035392,1.379430532,1.17368542,2.025454141,5.192465339,2.268583146,19.15451241,4.84358865,4.037972742,5.689832319,5.699158184,4.756318297,1.441899845,2.353335571,1.722822519,1.393122151,0.687576037,2.977686928,0.0,2.364899873,3.769258837,1.061074132,0.0,0.0,3.249071053,2.899194847,3.726020722,0.0,2.418377509,3.88476971,6.343001846,20.60944409,1.27642181,0.0,0.0,0.0,1.153983267,0.0,1.170829738,0.0,0.730908468,1.028425697,1.718808373,1.369337138,0.0,0.0,2.885289836,0.0,2.233211713,0.0,4.516319147,0.0,0.92416134,0.0,0.0,0.0,0.0,2.642232134,0.0,0.0,0.0,0.0,0.0,0.0,3.635646079,0.589832385,0.0,0.417797939,0.0,0
RNA132_FPKM,15.31524564,0.44512238,0.987315726,10.94376556,11.78723818,8.355643431,7.123692001,2.414591337,0.125571597,0.76826796,2.553879747,9.868426126,6.010514496,1.780861074,10.85937451,19.4264496,1.284664958,0.734448223,1.247280528,4.558672866,0.82722063,7.465338289,3.022480867,1.06191335,3.289543158,3.702774446,21.10842183,0.959828517,9.79727583,10.85937451,3.425373688,15.78286378,13.22485554,1.637055693,6.933807999,2.46157084,8.523469142,1.851329998,2.045431842,22.47817211,16.436475,1.612019689,1.238543011,0.0,13.48803675,0.220808482,10.83897887,7.572195235,12.00923347,6.118402132,2.268828605,16.16096265,8.302210161,0.574965902,3.77026247,3.748414713,1.904937534,32.64482926,2.657390624,7.912144978,7.552583879,7.031030201,4.024323284,6.00402579,1.344938531,2.250463196,0.975066152,0.0,4.193428719,3.877984255,6.757737828,10.04432886,0.415683069,3.496543181,1.375684199,4.774621765,0.0,2.305486746,1.344938531,3.159014871,6.940328936,4.811162238,22.55606904,1.875883446,0.381379127,0.29535376,1.439999631,12.62583965,2.658841274,5.735882328,0.610173384,0.0,1.813353998,1.796125598,0.0,2.089935848,0.61230135,10.55309082,1.039554654,0.0,0.0,1.946900222,0.0,0.362046544,0.222685042,0.667807421,0.0,0.0,1.664018963,0.0,0.201558512,0.0,0.0,0.0,0.184959576,0.0,0.0,0.0,0.204707864,0.0,0
