,IGHV3-33,IGHV3OR16-13,IGKV1-12,IGLV2-8,IGLV2-11,IGHV1-3,IGHV1OR15-1,IGHV2-70,IGKV2-40,IGLV10-54,IGHV4-34,IGHV3-7,IGLV6-57,IGKV1-33,IGKV1-39,IGKV4-1,Diagnosis
RNA1_FPKM,7.925607423,1.125244728,1.596829705,13.82925311,12.90916728,5.631351338,11.02716846,0.221905804,0.0,3.661332432,0.993028473,10.53053183,9.226776894,0.675146837,5.18969654,47.84180721,0
RNA102_FPKM,7.51864466,0.640393174,1.325483622,9.329135963,11.86952591,2.861868084,11.31483603,0.841932181,0.120372093,0.631549653,0.565146976,15.24766651,4.483363865,0.213464391,2.272128473,26.89482882,1
RNA104_FPKM,11.85122435,3.145642064,0.929993005,18.61409705,14.80529003,3.560773499,9.227171708,1.240727789,0.0,0.516951419,1.66557775,9.468626459,7.759115388,0.943670113,3.161856451,18.71313889,0
RNA108_FPKM,2.798565282,0.227724324,1.818364276,4.977053474,5.427817365,2.442899517,8.200668352,0.898388306,0.128413237,8.535221511,2.211396558,2.431004641,4.100334176,0.569526867,2.222509103,22.56886713,0
RNA110_FPKM,7.842770124,0.0,0.943634178,21.64842008,12.39416834,2.472151663,21.70481573,0.629517042,0.119967493,1.049068165,0.938916007,6.11403016,1.915108088,1.383144344,3.397151532,15.07905977,0
RNA114_FPKM,1.298793976,0.396491007,0.0,5.549094162,4.023399872,1.594331308,3.369804732,0.390953423,0.111790196,0.195476712,0.874595539,2.440883127,2.378577214,0.3963988,3.516125528,10.4048365,0
RNA115_FPKM,1.809283758,0.221015544,0.39185995,2.564217731,3.899006499,2.763852708,25.84621407,0.653571919,0.0,0.980250736,3.314251417,3.445722853,0.662829312,0.331414656,1.175579849,9.131573506,0
RNA116_FPKM,3.687660389,0.225019178,1.19808885,11.68191622,8.542853698,1.609374437,4.502497528,0.443984509,0.0,1.10984547,0.794732271,6.837911899,3.601951046,0.675409862,2.994909636,15.8048577,0
RNA126_FPKM,10.04934574,0.681732615,2.619928273,8.532853424,8.221571917,2.030581873,3.635646079,0.448140806,0.0,0.112035202,3.409000675,5.969009135,2.953913464,1.136090425,7.85978482,19.82876196,0
RNA132_FPKM,15.31524564,0.44512238,0.987315726,10.94376556,11.78723818,8.355643431,7.123692001,2.414591337,0.125571597,0.76826796,2.553879747,9.868426126,6.010514496,1.780861074,10.85937451,19.4264496,0
RNA140_FPKM,26.73550685,1.080782698,4.218302773,34.53938389,35.29394042,22.41049075,11.02509653,12.15012321,0.243858832,4.689507199,6.868070865,20.76379241,31.12983436,3.566977095,10.7373297,59.99953326,1
RNA145_FPKM,4.914928826,0.620848589,0.55065214,12.8570826,15.52213751,3.513529333,7.656307624,1.020237762,0.0,2.652478732,1.278326714,14.43919768,6.828627359,1.034600332,7.157693865,31.63487243,0
RNA150_FPKM,11.07357998,0.229152057,0.0,6.884628302,5.460324491,8.806026868,12.37467307,2.033564482,0.129218332,0.677854827,3.033604209,7.713021537,5.499880363,0.572880142,2.235671951,10.52511228,1
RNA151_FPKM,8.413953933,0.410852544,1.093344388,17.67628273,22.30265659,4.957712007,1.849248786,1.823421289,0.0,2.329854922,1.994539424,6.240854482,7.807682755,0.616361284,5.102468859,36.26439252,0
RNA152_FPKM,3.511538219,0.238234219,0.844968925,12.84812294,12.61227477,8.727443686,27.3923926,0.469813851,0.0,0.587142893,2.942938351,8.017070362,7.38399896,0.833693584,2.535130607,37.50895502,0
RNA155_FPKM,1.450812599,0.0,0.589229229,0.756006554,1.367993859,1.583038557,3.321523439,0.436709931,0.0,0.218354966,0.195427694,0.908966019,0.664343436,0.775067342,0.392819486,1.162268086,0
RNA165_FPKM,1.222810013,0.248788866,0.441318944,9.174622901,9.881953787,7.338529832,6.718663366,0.736211469,0.0,2.576336666,0.658909265,8.783814602,4.479017979,0.248788866,1.765517727,19.42899599,0
RNA174_FPKM,18.2457661,0.227341207,1.209595755,25.60973826,25.07633775,9.751167463,17.27640937,2.465576371,0.256394397,2.129327295,2.006062237,13.99609549,10.2293394,0.681896757,4.233922703,34.90157447,1
RNA179_FPKM,3.811133968,0.232694241,0.0,8.419646331,5.543780024,2.079332838,1.395955246,1.147014343,0.131215762,0.688229332,1.026577837,2.482989468,1.163261005,0.465283382,2.270044066,21.06715921,0
RNA18_FPKM,3.053191677,1.397974895,0.0,2.863550123,3.495476283,0.0,4.193924684,0.0,0.0,0.0,3.084412443,8.989805122,2.329859702,2.213484864,4.13312868,17.58082253,1
RNA185_FPKM,2.725209195,0.665525257,0.393518284,17.5690403,12.52853573,2.973582692,19.07691339,1.530961048,0.125096068,0.765480524,2.936412908,9.105021553,5.767393123,0.443683504,3.344687036,32.74777624,1
RNA2_FPKM,11.87153107,0.453021097,2.008781869,19.3296492,12.59178799,1.214334909,9.512209998,2.009758194,0.0,0.558306693,1.399160098,6.507316489,8.606167804,1.019112512,3.414754196,29.27441871,0
RNA201_FPKM,3.773463645,1.658714769,0.490333057,4.781654612,10.24619566,6.093776459,7.740344829,4.542912935,0.0,2.089782133,2.92745996,4.538750824,8.846025038,0.645012531,1.634501014,17.41265643,1
RNA205_FPKM,6.915520609,0.469136096,0.832186141,14.25289416,16.97300994,3.144208789,11.49276717,0.0,0.0,0.346937937,2.069874666,5.96895842,4.45636604,0.82088145,2.080276047,35.5495343,0
RNA209_FPKM,5.428016211,0.0,1.741589246,13.40764504,19.71211668,2.632320661,8.836543861,1.210086186,0.138454434,0.484097963,1.299708326,8.463217008,5.154650585,0.490954874,2.394709007,24.1580065,0
