,CSN1S2AP,PFN5P,SMBD1P,OFCC1,AC123767.1,AC008163.1,LINC00301,ADAM5,CYMP,SULT1D1P,AP002008.2,AC231760.1,GLYCAM1,AL359273.2,SSPOP,NRADDP,AL109809.1,Diagnosis
RNA1_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1364628,0.495323555,1.014636471,0
RNA102_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153540718,1.084352895,2.780628314,1
RNA104_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103505933,1.384678368,2.276151282,0
RNA108_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176679473,1.079862653,2.92889383,0
RNA110_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084023141,1.765324065,0.461920486,0
RNA114_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067087752,0.536959428,2.052166653,0
RNA115_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177568942,1.271618427,0.368874787,0
RNA116_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034921862,0.762293346,0.826984469,0
RNA126_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092925636,0.269270133,2.655937125,0
RNA132_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153825464,1.01760749,1.375367784,0
RNA140_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118894649,1.06141795,1.046857344,1
RNA145_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125476721,1.156117726,1.036587467,0
RNA150_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168044033,1.163933729,1.683705219,1
RNA151_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055051774,1.287082699,0.926346378,0
RNA152_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178025017,1.169476391,1.034133076,0
RNA155_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134274176,1.537078662,1.109269417,0
RNA165_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14036325,1.053211958,1.16343928,0
RNA174_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23401319,1.577957118,1.973849069,1
