,CSN1S2AP,PFN5P,SMBD1P,OFCC1,AC123767.1,AC008163.1,LINC00301,ADAM5,CYMP,SULT1D1P,AP002008.2,AC231760.1,GLYCAM1,AL359273.2,SSPOP,NRADDP,AL109809.1,MFSD13B,LINC01529,Diagnosis
RNA1_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1364628,0.495323555,1.014636471,0.0,0.098397146,0
RNA102_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153540718,1.084352895,2.780628314,0.080333614,0.1442567,1
RNA104_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103505933,1.384678368,2.276151282,0.078937455,0.258401827,0
RNA108_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176679473,1.079862653,2.92889383,0.042850046,0.244468747,0
RNA110_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084023141,1.765324065,0.461920486,0.0,0.050744967,0
RNA114_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067087752,0.536959428,2.052166653,0.07460625,0.055151395,0
RNA115_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177568942,1.271618427,0.368874787,0.04158768,0.105366688,0
RNA116_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034921862,0.762293346,0.826984469,0.127067284,0.03579472,0
RNA126_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092925636,0.269270133,2.655937125,0.042759704,0.126443943,0
RNA132_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153825464,1.01760749,1.375367784,0.041901823,0.0,0
RNA140_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118894649,1.06141795,1.046857344,0.122037589,0.051557824,1
RNA145_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125476721,1.156117726,1.036587467,0.0,0.1233727,0
RNA150_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168044033,1.163933729,1.683705219,0.0,0.072866277,1
RNA151_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055051774,1.287082699,0.926346378,0.038669821,0.081665486,0
RNA152_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178025017,1.169476391,1.034133076,0.044827654,0.085213493,0
RNA155_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134274176,1.537078662,1.109269417,0.0,0.193637577,0
RNA165_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14036325,1.053211958,1.16343928,0.140492381,0.138464944,0
RNA174_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23401319,1.577957118,1.973849069,0.128333869,0.2078149,1
RNA179_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216548523,1.339328288,2.369920288,0.0,0.10173151,0
RNA18_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197227932,0.817053035,0.219200553,0.0,1
RNA185_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147024439,1.051563573,0.444481905,0.083486288,0.105802809,1
RNA2_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373675691,1.111982638,1.172374763,0.127841761,0.081014912,0
RNA201_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184521047,0.499235089,0.27697555,0.034687491,0.183128345,1
RNA205_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188530347,1.826637529,0.783301671,0.044137804,0.158483523,0
RNA209_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13845631,1.080480821,1.639469424,0.092360975,0.058538828,0
RNA213_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14417225,1.542763862,0.853576105,0.0,0.194348436,0
RNA219_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127075178,1.408274545,1.466121748,0.043477865,0.119394006,0
RNA23_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191518181,1.111326807,1.322881859,0.042578684,0.080969338,1
RNA246_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146543673,1.015011235,3.336947118,0.075210721,0.158865836,1
RNA253_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178223345,0.933678033,1.458057153,0.043222317,0.191800345,1
RNA26_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229318554,0.410916786,1.864287085,0.182678358,0.125412673,0
RNA277_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058216793,0.885316373,0.919163876,0.0,0.142217475,0
RNA288_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102829468,0.871434034,1.074349552,0.0,0.05966967,0
RNA29_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061738678,1.55306913,1.601387959,0.196142068,0.24860422,0
RNA295_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291550498,1.252381466,1.266886378,0.035704929,0.105549777,0
RNA3_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271671618,1.812024363,0.714856469,0.15101475,0.148886948,0
RNA302_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104891211,1.259298217,1.348487637,0.040000637,0.05912801,0
RNA303_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033065538,2.093206082,0.355940178,0.0,0.194876654,1
RNA31_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073089942,1.954384345,0.983443996,0.088647829,0.177918098,1
RNA314_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222912395,1.17934733,0.313181038,0.050431482,0.106496154,1
RNA319_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110436205,0.99441173,0.290591908,0.040927155,0.129697471,0
RNA32_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139039727,1.526214805,4.703967065,0.371049301,0.201551727,1
RNA328_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127144957,1.144880646,1.731358883,0.042406226,0.170223443,0
RNA331_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111512955,1.33879726,0.099034124,0.0,0.204302716,0
RNA334_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038598403,1.655048856,0.163237774,0.03677455,0.054400682,0
RNA335_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061205334,1.253539261,0.127912885,0.096077071,0.213114179,1
RNA336_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068992074,1.430681405,0.816939265,0.041835851,0.097226525,0
RNA35_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204080684,0.674670405,1.716092496,0.039467142,0.141719072,0
RNA358_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217839133,0.713256263,1.829066338,0.052859078,0.078148898,0
RNA365_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11093391,0.713509329,1.407442717,0.158610638,0.111674132,0
RNA368_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127998449,1.097651186,1.226941443,0.0,0.060128182,0
RNA37_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284459908,0.95931034,2.61137049,0.127922456,0.126124789,0
RNA379_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0800096,0.85387087,1.473775467,0.059328532,0.100231999,1
RNA38_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133769645,1.213430498,2.006379376,0.079337067,0.016758962,0
RNA383_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190844334,0.932019797,1.761859769,0.043143827,0.091169873,0
RNA385_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201282299,1.322742557,0.903193852,0.056534069,0.095548522,1
RNA386_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147936537,0.930307169,0.458792988,0.047016553,0.119131306,0
RNA39_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168101572,1.028888015,2.849167604,0.13195594,0.037159076,1
RNA392_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175645243,1.274058941,1.256581311,0.097643765,0.06188795,0
RNA409_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177584126,0.724894942,2.481314417,0.0,0.060062691,0
