,CSN1S2AP,PFN5P,SMBD1P,OFCC1,AC123767.1,AC008163.1,LINC00301,ADAM5,CYMP,SULT1D1P,AP002008.2,AC231760.1,GLYCAM1,AL359273.2,SSPOP,NRADDP,AL109809.1,MFSD13B,LINC01529,TP73-AS1,PRORSD1P,TEX21P,ZNF271P,LDC1P,TRY2P,CYP2T1P,AC113208.3,GGNBP1,MROH3P,SLC26A10,C22orf46,Diagnosis
RNA1_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1364628,0.495323555,1.014636471,0.0,0.098397146,0.164825875,1.853216077,0.170576821,1.019920635,0.0,0.0,0.97485361,0.155551313,0.052943871,0.064430071,0.0,0.487368279,0
RNA102_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153540718,1.084352895,2.780628314,0.080333614,0.1442567,0.18858897,1.804921728,0.264785611,0.787652522,0.078961605,0.0,1.736353931,0.50592622,0.075327821,0.020371163,0.0,0.494350202,1
RNA104_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103505933,1.384678368,2.276151282,0.078937455,0.258401827,0.276700776,1.865057339,0.130047062,1.131895286,0.022165344,0.0,0.852792094,0.207069771,0.098665073,0.0,0.0,0.443673319,0
RNA108_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176679473,1.079862653,2.92889383,0.042850046,0.244468747,0.205046445,0.750346275,0.282533274,1.006435212,0.0,0.0,0.845788208,0.269914772,0.107171947,0.065216634,0.0,0.413629929,0
RNA110_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084023141,1.765324065,0.461920486,0.0,0.050744967,0.136816178,1.425204598,0.0,1.022544114,0.0,0.0,1.128708523,0.399207262,0.075097335,0.060926494,0.0,0.545908428,0
RNA114_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067087752,0.536959428,2.052166653,0.07460625,0.055151395,0.196159922,1.153505269,0.122928141,0.808067185,0.010474579,0.0,0.806090633,0.058725032,0.0,0.056756417,0.0,0.277378933,0
RNA115_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177568942,1.271618427,0.368874787,0.04158768,0.105366688,0.125978808,1.455305692,0.106558514,1.25272048,0.0,0.0,1.679531153,0.109073848,0.0,0.0,0.0,0.636653023,0
RNA116_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034921862,0.762293346,0.826984469,0.127067284,0.03579472,0.146001315,0.865118402,0.232671098,1.107417635,0.011889204,0.0,0.696557892,0.11113977,0.07943293,0.0,0.0,0.21751371,0
RNA126_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092925636,0.269270133,2.655937125,0.042759704,0.126443943,0.210883542,2.819167046,0.125247986,0.915939491,0.048027064,0.0,1.586905514,0.0,0.187080382,0.021686187,0.0,0.238472055,0
RNA132_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153825464,1.01760749,1.375367784,0.041901823,0.0,0.170511795,0.90436314,0.230093215,0.806098947,0.023518665,0.0,0.865917194,0.175856693,0.104746364,0.0212511,0.0,0.470974887,0
RNA140_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118894649,1.06141795,1.046857344,0.122037589,0.051557824,0.25985808,1.471646113,0.208538716,1.304676882,0.011418483,0.059306771,0.630675139,0.149418719,0.050868253,0.0,0.0,0.554598677,1
RNA145_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125476721,1.156117726,1.036587467,0.0,0.1233727,0.121476339,1.658562737,0.085546887,1.069761591,0.0,0.0,0.859780723,0.204315478,0.0,0.039493259,0.0,0.434341799,0
RNA150_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168044033,1.163933729,1.683705219,0.0,0.072866277,0.171683587,1.534834938,0.300020376,0.996818705,0.02421514,0.0,0.81034525,0.113133813,0.080863721,0.087473021,0.0,0.217599416,1
RNA151_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055051774,1.287082699,0.926346378,0.038669821,0.081665486,0.156227777,0.78959144,0.028309769,1.338271614,0.0,0.0,0.635746676,0.426038309,0.072501011,0.078432041,0.0,0.318319531,0
RNA152_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178025017,1.169476391,1.034133076,0.044827654,0.085213493,0.243705991,1.883014584,0.213366906,1.285646952,0.0,0.0,1.747775176,0.329279815,0.056045771,0.0,0.0,0.694404176,0
RNA155_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134274176,1.537078662,1.109269417,0.0,0.193637577,0.141135673,2.139547275,0.045776544,1.255709941,0.0,0.0,1.292015417,0.284239334,0.078145029,0.0,0.0,0.468484178,0
RNA165_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14036325,1.053211958,1.16343928,0.140492381,0.138464944,0.274069567,1.775900405,0.257198114,1.241076378,0.052594847,0.0,1.121916512,1.056514763,0.146354097,0.047484439,0.024425663,0.887091799,0
RNA174_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23401319,1.577957118,1.973849069,0.128333869,0.2078149,0.32408752,1.297890181,0.266286359,0.999167486,0.0,0.0,1.788567929,0.314246344,0.160419564,0.021695444,0.0,0.965655397,1
RNA179_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216548523,1.339328288,2.369920288,0.0,0.10173151,0.212034523,1.047406765,0.09618821,1.202825563,0.024589453,0.0,1.049004513,0.528397746,0.082113696,0.06661887,0.0,0.333332495,0
RNA18_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197227932,0.817053035,0.219200553,0.0,0.052105961,2.097781149,0.43348336,1.544134279,0.0,0.0,1.483050752,0.0,0.0,0.0,0.0,0.163020102,1
RNA185_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147024439,1.051563573,0.444481905,0.083486288,0.105802809,0.210833312,2.070245812,0.290416888,1.197286346,0.02344264,0.0,0.80402077,0.35045463,0.078284044,0.063511872,0.010890021,0.502562987,1
RNA2_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373675691,1.111982638,1.172374763,0.127841761,0.081014912,0.168408999,1.765565764,0.327719123,0.954208105,0.047872009,0.0,0.600650763,0.178903143,0.079917076,0.0,0.011113155,0.203734531,0
RNA201_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184521047,0.499235089,0.27697555,0.034687491,0.183128345,0.289534662,1.618804715,0.304774105,1.351477901,0.009740119,0.0,1.401142568,0.27295984,0.021684016,0.0,0.0,0.721475765,1
RNA205_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188530347,1.826637529,0.783301671,0.044137804,0.158483523,0.180963811,1.879955406,0.129288469,0.854657927,0.0,0.0,1.451452308,0.393704104,0.027591643,0.0,0.0,0.390726695,0
RNA209_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13845631,1.080480821,1.639469424,0.092360975,0.058538828,0.192126929,0.80852773,0.152220378,0.78261355,0.0,0.0,1.193475254,0.339310727,0.202117896,0.046842171,0.01205291,0.498860785,0
RNA213_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14417225,1.542763862,0.853576105,0.0,0.194348436,0.228638161,1.195730651,0.168464338,1.12874297,0.0,0.0,1.375364659,0.416966207,0.052283521,0.063626459,0.0,0.47391435,0
RNA219_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127075178,1.408274545,1.466121748,0.043477865,0.119394006,0.18731527,1.014777706,0.0,0.905089268,0.024416846,0.0,1.409436536,0.296598089,0.108716394,0.044100824,0.011342577,0.461897104,0
RNA23_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191518181,1.111326807,1.322881859,0.042578684,0.080969338,0.218931798,1.590571895,0.655047946,1.386674116,0.0,0.0,0.780410165,0.156456914,0.079882682,0.0,0.0,0.312970209,1
RNA246_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146543673,1.015011235,3.336947118,0.075210721,0.158865836,0.198876988,1.579814337,0.082624621,0.864722676,0.031678337,0.0,1.024668554,0.295985794,0.094032197,0.038144177,0.0,0.296288231,1
RNA253_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178223345,0.933678033,1.458057153,0.043222317,0.191800345,0.236388056,2.094094875,0.237497401,1.020473765,0.012136666,0.0,0.893817304,0.2268824,0.027019349,0.0,0.0,0.666067225,1
RNA26_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229318554,0.410916786,1.864287085,0.182678358,0.125412673,0.408450378,2.744868699,0.986705612,1.06128582,0.0,0.0,0.407675144,0.407411063,0.085647601,0.046323952,0.0,0.933997616,0
RNA277_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058216793,0.885316373,0.919163876,0.0,0.142217475,0.246201864,1.601603469,0.189645953,1.078103352,0.0,0.0,0.924586121,0.027167746,0.032364109,0.0,0.0,0.962835033,0
RNA288_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102829468,0.871434034,1.074349552,0.0,0.05966967,0.182255654,1.883806399,0.221673029,1.26013578,0.0,0.0,1.421983679,0.084713928,0.126139168,0.0,0.0,0.496606707,0
RNA29_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061738678,1.55306913,1.601387959,0.196142068,0.24860422,0.203981818,1.94572963,0.057460475,1.329443541,0.0,0.0,1.52976102,0.082341263,0.049045321,0.0,0.0,0.277846071,0
