,IGHV3-33,IGHV3OR16-13,IGKV1-12,IGLV2-8,IGLV2-11,IGHV1-3,IGHV1OR15-1,IGHV2-70,IGKV2-40,IGLV10-54,IGHV4-34,IGHV3-7,IGLV6-57,IGKV1-33,IGKV1-39,IGKV4-1,IGLV2-18,IGHV4-31,IGKV1-16,IGLV4-60,IGKV1-6,IGKV3-20,IGKV2-28,IGHV3-72,IGHV3-13,IGKV1D-33,IGKV1D-39,IGHV1-46,IGLV7-43,IGLV3-1,IGKV2-30,IGHV3-11,Diagnosis
RNA1_FPKM,7.925607423,1.125244728,1.596829705,13.82925311,12.90916728,5.631351338,11.02716846,0.221905804,0.0,3.661332432,0.993028473,10.53053183,9.226776894,0.675146837,5.18969654,47.84180721,3.246959583,0.371225597,1.05082378,3.730714704,2.299644884,8.142630609,4.888755557,1.502962013,1.662745349,1.351766507,12.67674341,0.727715522,2.063435787,6.187715105,4.888755557,4.030897817,0
RNA102_FPKM,7.51864466,0.640393174,1.325483622,9.329135963,11.86952591,2.861868084,11.31483603,0.841932181,0.120372093,0.631549653,0.565146976,15.24766651,4.483363865,0.213464391,2.272128473,26.89482882,6.981709827,0.880459395,0.598039128,1.040985141,0.793188738,9.60857815,1.932310954,0.814723529,1.752561097,0.986389099,7.61641276,0.230085283,2.93620232,3.408283124,1.545885671,5.735715364,1
RNA104_FPKM,11.85122435,3.145642064,0.929993005,18.61409705,14.80529003,3.560773499,9.227171708,1.240727789,0.0,0.516951419,1.66557775,9.468626459,7.759115388,0.943670113,3.161856451,18.71313889,1.613590647,0.0,1.958397969,0.613399313,0.974045306,14.62038031,3.986133838,2.200751464,3.615330691,0.968945592,9.253303629,0.452051731,1.538150046,7.439944043,5.124854615,7.355691679,0
RNA108_FPKM,2.798565282,0.227724324,1.818364276,4.977053474,5.427817365,2.442899517,8.200668352,0.898388306,0.128413237,8.535221511,2.211396558,2.431004641,4.100334176,0.569526867,2.222509103,22.56886713,1.095602093,0.0,3.616283094,0.0,0.846376352,9.448295707,2.474218742,0.108630657,0.747960497,0.736726886,6.41585977,0.368299736,4.177120355,8.485508328,2.268099033,3.399981685,0
RNA110_FPKM,7.842770124,0.0,0.943634178,21.64842008,12.39416834,2.472151663,21.70481573,0.629517042,0.119967493,1.049068165,0.938916007,6.11403016,1.915108088,1.383144344,3.397151532,15.07905977,1.023341697,0.0,0.0,0.207457599,1.976665279,6.009335041,1.733418346,0.202972029,0.524109538,1.179843267,5.393881556,0.802799776,2.341299367,4.907034709,0.962990777,0.794009309,0
RNA114_FPKM,1.298793976,0.396491007,0.0,5.549094162,4.023399872,1.594331308,3.369804732,0.390953423,0.111790196,0.195476712,0.874595539,2.440883127,2.378577214,0.3963988,3.516125528,10.4048365,0.953237644,0.0,1.110631953,0.0,0.368319278,4.373303185,1.973646646,1.040165124,0.0,0.457903423,3.535910627,0.106840707,1.090438645,2.109642604,1.076458662,1.923083339,0
RNA115_FPKM,1.809283758,0.221015544,0.39185995,2.564217731,3.899006499,2.763852708,25.84621407,0.653571919,0.0,0.980250736,3.314251417,3.445722853,0.662829312,0.331414656,1.175579849,9.131573506,0.63754427,0.0,0.41259328,0.430829447,0.0,3.704152067,1.39974171,0.210757108,0.181438342,0.714527836,6.844102784,0.238107267,1.417920174,3.330905947,1.59959241,1.978354249,0
RNA116_FPKM,3.687660389,0.225019178,1.19808885,11.68191622,8.542853698,1.609374437,4.502497528,0.443984509,0.0,1.10984547,0.794732271,6.837911899,3.601951046,0.675409862,2.994909636,15.8048577,0.866193211,0.185588248,0.420493265,0.439078603,0.0,8.741433123,4.890234927,0.644377517,0.0,0.936148674,6.551762644,0.242666342,3.302568102,1.797029112,3.667782496,2.520029672,0
RNA126_FPKM,10.04934574,0.681732615,2.619928273,8.532853424,8.221571917,2.030581873,3.635646079,0.448140806,0.0,0.112035202,3.409000675,5.969009135,2.953913464,1.136090425,7.85978482,19.82876196,5.682460233,0.0,2.334119164,0.0,2.321834327,6.216141809,3.496410949,0.542008137,3.730603906,1.574824426,14.29255178,0.489876057,2.708393384,3.627450429,2.056614974,6.274333931,0
RNA132_FPKM,15.31524564,0.44512238,0.987315726,10.94376556,11.78723818,8.355643431,7.123692001,2.414591337,0.125571597,0.76826796,2.553879747,9.868426126,6.010514496,1.780861074,10.85937451,19.4264496,1.284664958,0.734448223,1.247280528,4.558672866,0.82722063,7.465338289,3.022480867,1.06191335,3.289543158,3.702774446,21.10842183,0.959828517,9.79727583,10.85937451,3.425373688,15.78286378,0
