,CSN1S2AP,PFN5P,SMBD1P,OFCC1,AC123767.1,AC008163.1,LINC00301,ADAM5,CYMP,SULT1D1P,AP002008.2,AC231760.1,GLYCAM1,AL359273.2,SSPOP,NRADDP,AL109809.1,MFSD13B,LINC01529,TP73-AS1,PRORSD1P,TEX21P,ZNF271P,LDC1P,TRY2P,CYP2T1P,AC113208.3,GGNBP1,MROH3P,SLC26A10,C22orf46,TMEM198B,UOX,CRYZL2P,CDIPTOSP,AL590556.2,FMO6P,CETN4P,SLC66A1L,OACYLP,AC104162.1,AHSA2P,SLC22A20P,MBL1P,CUTALP,GUCY1B2,EGFEM1P,MGAT4EP,Diagnosis
RNA1_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1364628,0.495323555,1.014636471,0.0,0.098397146,0.164825875,1.853216077,0.170576821,1.019920635,0.0,0.0,0.97485361,0.155551313,0.052943871,0.064430071,0.0,0.487368279,3.209017683,0.168667256,0.469596199,0.282511656,0.0,0.0,0.027913661,0.0,0.0,0.04194418,7.0338397,0.138618527,0.0,3.088736317,0.030893361,0.0,0.0,0
RNA102_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153540718,1.084352895,2.780628314,0.080333614,0.1442567,0.18858897,1.804921728,0.264785611,0.787652522,0.078961605,0.0,1.736353931,0.50592622,0.075327821,0.020371163,0.0,0.494350202,1.562705748,0.039996247,0.643478521,0.053593834,0.0,0.0,0.026476785,0.0,0.0,0.039785074,6.964519385,0.013148304,0.0,1.643468699,0.043954655,0.0,0.0,1
RNA104_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103505933,1.384678368,2.276151282,0.078937455,0.258401827,0.276700776,1.865057339,0.130047062,1.131895286,0.022165344,0.0,0.852792094,0.207069771,0.098665073,0.0,0.0,0.443673319,1.129675575,0.0,0.30388934,0.0,0.036910933,0.0,0.017344421,0.0,0.0,0.039093628,6.864224572,0.064585101,0.0,0.382347794,0.014396915,0.0,0.0,0
RNA108_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176679473,1.079862653,2.92889383,0.042850046,0.244468747,0.205046445,0.750346275,0.282533274,1.006435212,0.0,0.0,0.845788208,0.269914772,0.107171947,0.065216634,0.0,0.413629929,1.37146524,0.0,0.77902522,0.0,0.040073124,0.0,0.0,0.0,0.0,0.0,6.278539469,0.042093235,0.0,2.941868133,0.0,0.0,0.0,0
RNA110_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084023141,1.765324065,0.461920486,0.0,0.050744967,0.136816178,1.425204598,0.0,1.022544114,0.0,0.0,1.128708523,0.399207262,0.075097335,0.060926494,0.0,0.545908428,1.254177163,0.0,0.456371169,0.0,0.074875026,0.0,0.0,0.0,0.0,0.0,6.410118501,0.065532438,0.0,3.674959384,0.029204609,0.0,0.0,0
RNA114_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067087752,0.536959428,2.052166653,0.07460625,0.055151395,0.196159922,1.153505269,0.122928141,0.808067185,0.010474579,0.0,0.806090633,0.058725032,0.0,0.056756417,0.0,0.277378933,1.413269872,0.037144725,0.873215006,0.0,0.0,0.0,0.016392753,0.0,0.0,0.018474304,8.192108726,0.146508071,0.0,5.526518008,0.0,0.0,0.0,0
RNA115_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177568942,1.271618427,0.368874787,0.04158768,0.105366688,0.125978808,1.455305692,0.106558514,1.25272048,0.0,0.0,1.679531153,0.109073848,0.0,0.0,0.0,0.636653023,2.681028571,0.020705543,0.422558727,0.110924794,0.0,0.0,0.0,0.0,0.0,0.102940604,8.588154343,0.054426892,0.0,0.313263076,0.0,0.0,0.0,0
RNA116_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034921862,0.762293346,0.826984469,0.127067284,0.03579472,0.146001315,0.865118402,0.232671098,1.107417635,0.011889204,0.0,0.696557892,0.11113977,0.07943293,0.0,0.0,0.21751371,0.984423357,0.0,0.939516877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.981992725,0.055469012,0.0,1.835620876,0.0,0.008910901,0.020134796,0
RNA126_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092925636,0.269270133,2.655937125,0.042759704,0.126443943,0.210883542,2.819167046,0.125247986,0.915939491,0.048027064,0.0,1.586905514,0.0,0.187080382,0.021686187,0.0,0.238472055,0.49680735,0.191577133,0.895602081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.162336797,0.0,0.0,0.414281599,0.0,0.0,0.0,0
RNA132_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153825464,1.01760749,1.375367784,0.041901823,0.0,0.170511795,0.90436314,0.230093215,0.806098947,0.023518665,0.0,0.865917194,0.175856693,0.104746364,0.0212511,0.0,0.470974887,1.234462212,0.0,0.490334206,0.111755477,0.0,0.0,0.018403397,0.0,0.0,0.0,8.26960371,0.054849736,0.0,4.250428404,0.0,0.008818468,0.0,0
RNA140_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118894649,1.06141795,1.046857344,0.122037589,0.051557824,0.25985808,1.471646113,0.208538716,1.304676882,0.011418483,0.059306771,0.630675139,0.149418719,0.050868253,0.0,0.0,0.554598677,1.972860239,0.0,0.714243696,0.0,0.038029356,0.0,0.026814537,0.012126353,0.033222117,0.0,7.025104661,0.039948092,0.0,0.405095442,0.01483315,0.0,0.0,1
