,IGHV3-21,IGHV1-18,IGKV6D-21,IGHV1-2,IGHV1-3,IGHV3-7,IGKV1-16,IGKV1-12,IGKV1D-42,IGLV4-60,IGHV4-4,IGHV3-64D,IGKV2D-29,IGLV4-3,IGLV9-49,IGLV1-50,IGLV10-54,IGLV1-47,IGLV7-46,IGKV3D-20,IGKV3-15,IGHV1-24,IGLV2-8,IGKV1D-16,IGKV3-7,IGKV3-11,IGKV3D-15,IGKV2-30,IGKV2-40,IGHV2-26,IGHV4-28,IGHV3-33,IGHV4-34,IGHV3-35,IGHV3-38,IGHV4-39,IGKV2D-26,IGKV6D-41,IGKV1-33,IGHV3-74,IGKV1-37,IGKV1D-13,IGHV7-81,IGHV3-66,IGKV1D-39,IGKV3OR2-268,IGLV1-40,IGHV4-31,IGKV2D-30,IGKV2D-24,IGHV1OR15-9,IGHV5-10-1,IGHV3-64,IGLV1-36,IGLV3-25,IGLV3-27,IGKV6-21,IGKV3-20,IGKV1-17,IGHV1-69D,IGKV1-6,AC135068.3,IGHV7-4-1,IGLV11-55,IGHV1OR21-1,IGKV1-9,IGKV1-39,IGHV3OR16-10,AC135068.9,IGLV1-51,IGLV5-48,IGLV6-57,IGLV5-52,IGHV8-51-1,IGHV1-69,IGHV4-61,IGHV3-73,IGHV2-70D,IGKV3D-7,IGHV3OR16-9,IGHV3OR16-12,IGHV3-72,IGLV3-9,IGKV1-8,IGHV2-70,IGKV1D-17,IGKV1D-37,IGHV3-15,IGHV3-13,IGHV3-11,IGHV3-20,IGHV3-16,IGHV3-23,IGHV3OR16-13,IGLV4-69,IGKV3D-11,IGLV8-61,IGKV2D-40,IGKV1OR2-108,IGLV3-22,IGHV3-43,IGLV3-16,IGLV2-11,IGLV3-10,IGLV2-14,IGLV3-12,IGLV2-18,IGLV3-21,IGLV3-19,IGLV2-23,IGKV4-1,IGKV5-2,IGHV3OR16-8,IGHV3OR15-7,IGHV3-30,IGHV1-69-2,IGKV1D-12,IGHV2OR16-5,IGKV2D-28,IGLV3-32,IGLV2-33,IGLV5-37,IGLV7-43,IGLV1-44,IGLV5-45,IGKV2-24,IGKV1-5,IGKV2-28,IGHV4-59,IGHV4OR15-8,IGHV1-58,IGHV3-49,IGHV3-48,IGHV3-53,IGHV5-51,IGHV1-45,IGHV1-46,IGKV1D-8,IGKV1-27,IGLV3-1,IGKV1D-33,IGKV1D-43,IGHV2-5,IGHV1OR15-1,IGHV6-1
RNA1_FPKM,12.56277615,6.393936637,0.97117699,2.095599654,5.631351338,10.53053183,1.05082378,1.596829705,0.0,3.730714704,5.334253666,0.225048946,2.950713176,0.39425448,5.438591146,0.588461317,3.661332432,12.29676254,4.333215153,4.10600537,5.931027197,1.546321709,13.82925311,0.840659024,0.0,8.91678336,5.617130754,4.888755557,0.0,0.625529746,0.0,7.925607423,0.993028473,0.0,0.0,1.308461046,0.0,0.0,0.675146837,5.54864096,0.0,1.901543884,0.0,0.186047489,12.67674341,0.453955873,9.368914467,0.371225597,6.033590719,2.648075927,0.0,0.0,0.0,0.606429602,5.853641522,0.842888889,0.587011905,8.142630609,1.05082378,0.0,2.299644884,0.0,7.114031977,0.0,0.0,1.553883184,5.18969654,0.0,0.225048946,20.42176218,0.0,9.226776894,0.628830695,0.0,0.578463188,0.0,1.636110985,0.0,0.0,0.0,0.0,1.502962013,2.240237769,1.796433418,0.221905804,2.837224207,0.225048946,6.544258249,1.662745349,4.030897817,0.574281526,0.0,13.2401918,1.125244728,4.739992709,3.578480982,6.332159471,0.493430297,0.0,0.0,0.183046723,0.619030736,12.90916728,4.991137873,31.0255605,0.892609863,3.246959583,7.917700203,9.482284761,13.13471696,47.84180721,0.0,0.0,0.0,4.976662415,0.0,3.854342319,0.0,11.42949824,0.0,0.0,0.212412507,2.063435787,9.526095098,0.0,1.629585186,7.316899372,4.888755557,4.654194053,0.0,0.0,0.723847634,1.287259131,0.0,2.325139838,0.0,0.727715522,0.0,0.831856312,6.187715105,1.351766507,0.29865518,8.406375571,11.02716846,3.637116333
RNA102_FPKM,4.206247058,5.146580379,2.395432843,4.879484473,2.861868084,15.24766651,0.598039128,1.325483622,0.0,1.040985141,0.542107411,1.494454622,0.968926202,0.0,0.368473986,0.558169853,0.631549653,6.295546699,4.306442531,2.878974727,3.409960506,0.366680925,9.329135963,0.598039128,0.0,4.998449222,4.377104305,1.545885671,0.120372093,1.384625936,0.0,7.51864466,0.565146976,0.0,0.0,0.531903036,0.0,0.0,0.213464391,5.135395329,0.0,2.004258702,0.0,0.0,7.61641276,0.0,7.406577538,0.880459395,6.868337638,1.159460388,0.0,1.470476614,0.0,0.0,4.363106249,0.0,2.598731436,9.60857815,0.398692752,0.366680925,0.793188738,0.0,2.81203456,0.0,0.0,0.736947972,2.272128473,0.0,0.213464391,11.81756435,0.0,4.483363865,0.795281585,0.0,0.365790923,0.0,1.379623367,0.0,0.196231589,0.0,0.0,0.814723529,1.961620677,0.0,0.841932181,1.274902898,0.0,4.311302437,1.752561097,5.735715364,0.181573326,0.0,19.53827723,0.640393174,3.237462252,4.413045259,2.184316744,0.702157688,0.0,0.0,0.0,0.0,11.86952591,0.394517959,29.05739207,0.211665534,6.981709827,1.502171316,5.997018,5.704723501,26.89482882,0.184688554,0.0,0.0,3.322156876,0.0,1.625055018,0.0,3.972105794,0.0,0.0,0.0,2.93620232,8.714265569,0.0,3.091771341,7.366135696,1.932310954,1.37019867,0.0,0.0,0.343293531,1.046735072,0.0,1.838051883,0.0,0.230085283,0.282220712,0.591776938,3.408283124,0.986389099,0.0,9.171075686,11.31483603,1.452760028
RNA104_FPKM,12.73956956,13.18041848,3.076818747,7.455887166,3.560773499,9.468626459,1.958397969,0.929993005,0.0,0.613399313,7.278325218,0.0,2.009293617,0.0,0.181035042,0.0,0.516951419,6.547920996,2.115111077,3.3270761,6.531797278,1.080731262,18.61409705,0.587435321,0.0,6.798479197,3.551781647,5.124854615,0.0,0.971488756,0.0,11.85122435,1.66557775,0.0,0.0,1.393382983,0.569360388,0.0,0.943670113,7.314412145,0.0,0.98440749,0.0,2.080470953,9.253303629,0.423104756,8.912355845,0.0,6.934095524,0.569360388,0.0,0.0,0.0,0.0,4.870226528,0.588993505,0.91166802,14.62038031,1.370962648,0.0,0.974045306,0.209754483,4.603696718,0.0,0.0,0.0,3.161856451,0.0,0.419508965,11.22777188,0.0,7.759115388,0.58588536,0.0,0.0,0.647907842,1.185867004,0.0,0.0,0.0,0.0,2.200751464,1.927030579,0.557915958,1.240727789,3.756942293,0.419508965,8.469959179,3.615330691,7.355691679,0.0,0.0,22.4479896,3.145642064,2.473432735,6.502374768,12.33786883,0.0,0.0,0.0,1.023457485,0.0,14.80529003,2.131721897,24.85976465,0.831724393,1.613590647,4.672775855,8.050561315,12.82936234,18.71313889,0.0,0.0,0.0,2.232772584,0.0,2.593867881,0.0,4.956185419,0.0,0.0,0.0,1.538150046,12.20570763,0.373014269,0.0,6.53992888,3.986133838,3.589177269,0.0,0.178848629,1.348947079,1.884994826,1.037106423,2.5277276,0.0,0.452051731,0.0,2.131721897,7.439944043,0.968945592,0.417388255,7.833591876,9.227171708,8.740551395
RNA108_FPKM,6.919122359,4.510799181,0.196544465,3.471026293,2.442899517,2.431004641,3.616283094,1.818364276,0.0,0.0,0.0,0.455664705,1.033869974,0.399130623,0.393275406,0.0,8.535221511,8.693076058,3.132939316,2.168416426,4.366268368,1.173899403,4.977053474,0.850854534,0.0,5.333326509,2.436730579,2.268099033,0.128413237,0.844154892,0.0,2.798565282,2.211396558,0.0,0.0,0.756760032,0.0,0.0,0.569526867,5.068522342,0.0,0.641585977,0.0,0.0,6.41585977,0.0,10.27372052,0.0,3.460645594,2.268099033,0.0,0.392316197,0.559713056,0.0,4.655370994,0.639884157,0.0,9.448295707,1.063719493,0.0,0.846376352,0.0,2.800295229,0.0,0.0,4.915103436,2.222509103,0.0,0.0,9.301975943,0.0,4.100334176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108630657,2.093156853,1.616387678,0.898388306,0.604554537,0.227724324,3.1280435,0.747960497,3.399981685,0.387589496,0.0,8.003924234,0.227724324,2.686679432,2.173300246,1.165392886,0.499414618,0.0,0.0,0.18522278,0.0,5.427817365,3.157543552,12.80186458,0.0,1.095602093,2.003623981,7.251953016,4.164669306,22.56886713,0.197026192,0.0,0.0,0.93291408,0.0,2.384255049,0.0,1.947229358,0.0,0.0,0.0,4.177120355,9.470322438,0.202485356,4.536002507,6.499427198,2.474218742,0.974692232,0.0,0.0,0.366400093,1.302915141,0.281698145,0.784446375,0.0,0.368299736,0.0,1.894526131,8.485508328,0.736726886,0.0,5.105530737,8.200668352,5.231631195
RNA109_FPKM,2.975320477,3.315571968,0.195590957,1.342295347,3.441479764,3.347212306,0.634683036,0.0,0.0,0.883499923,1.342295347,0.0,0.799624514,0.0,0.586577476,0.0,0.335070094,3.143458981,2.699941864,1.976548611,1.989964099,0.583723084,4.794697923,0.0,0.0,4.895718537,2.423133417,2.460412393,0.255452853,0.629685531,0.0,8.163193605,1.399342899,0.0,0.0,1.128801078,0.205119747,0.0,0.0,0.953555638,0.0,2.126721668,0.0,0.749009302,4.8912898,0.0,1.768183405,0.186908181,2.429267932,0.205119747,0.0,0.0,0.0,0.203553948,1.052167562,0.0,0.19703621,4.797804166,0.42305155,0.389083908,0.420824963,0.0,2.983758758,0.0,0.0,0.0,2.20996013,0.0,0.226619551,2.261090313,0.0,2.944695801,0.211073091,0.0,0.58230628,0.0,2.378667318,0.0,0.0,0.0,0.226619551,0.540302262,0.693767835,0.0,0.670140189,0.450958999,0.0,2.012732567,0.929822497,2.535879536,0.385333701,0.0,8.329474873,0.0,4.19839681,1.620834788,1.931515331,0.248312867,0.0,0.0,0.0,0.830719408,3.598253228,3.139976494,7.757494453,0.898390371,1.525169372,1.328317852,3.181620744,2.707937264,11.29574731,0.0,0.0,0.0,4.823747453,0.0,1.508725498,0.0,2.505880717,0.0,0.0,0.0,2.28458216,3.766869943,0.0,0.0,2.855823295,0.820069159,0.807724593,0.0,0.0,0.0,0.370170107,0.700216591,1.365212584,0.0,0.488285454,0.299463457,0.837243383,2.812749546,1.046658831,0.0,3.173203758,2.944695801,1.541527376
RNA110_FPKM,3.668449793,8.793982624,0.183617728,0.900638856,2.472151663,6.11403016,0.0,0.943634178,0.0,0.207457599,1.260992454,1.489614315,1.502285083,0.0,0.367235457,0.0,1.049068165,8.858803135,5.267790818,2.363145074,6.118101286,0.548338446,21.64842008,0.0,0.0,5.173723125,3.414308863,0.962990777,0.119967493,0.788626646,0.0,7.842770124,0.938916007,0.0,0.0,1.767371308,0.192563207,0.0,1.383144344,1.535605206,0.0,0.0,0.0,0.879546611,5.393881556,0.0,3.137510219,0.0,3.613078382,0.385126415,0.0,3.114552827,0.0,0.573453184,4.151140555,0.796994037,0.0,6.009335041,1.39109485,2.924250628,1.976665279,0.0,0.373630104,0.0,0.0,4.407825213,3.397151532,0.0,0.0,8.689547361,0.0,1.915108088,0.0,0.0,0.547007527,0.986140161,1.031272434,0.0,0.0,0.0,0.0,0.202972029,1.303543393,0.37738518,0.629517042,0.0,0.0,2.234553563,0.524109538,0.794009309,0.0,0.0,18.25733115,0.0,5.378201828,4.39864823,1.814330449,0.233228729,0.0,0.0,0.34608134,0.390128057,12.39416834,2.556282479,23.73059731,0.421908151,1.023341697,1.122978663,6.575155616,3.441499428,15.07905977,0.184067772,0.0,0.0,1.917170778,0.0,2.632075221,0.0,2.782051017,0.0,0.0,0.0,2.341299367,5.307995005,0.0,1.348291931,7.342104564,1.733418346,0.151716466,0.0,0.0,0.0,0.173841784,1.052422949,1.282521593,0.0,0.802799776,0.0,0.393191889,4.907034709,1.179843267,0.0,0.596209262,21.70481573,1.809958568
RNA114_FPKM,3.091866037,2.047896967,0.0,1.845856576,1.594331308,2.440883127,1.110631953,0.0,0.0,0.0,1.678037241,1.189288607,0.199944751,0.0,0.0,0.51837528,0.195476712,3.610316027,1.2722066,2.987645833,2.532942099,0.510807757,5.549094162,0.0,0.0,4.819598469,1.767024064,1.076458662,0.111790196,0.734534259,0.0,1.298793976,0.874595539,0.0,0.0,0.658488359,0.0,0.0,0.3963988,0.595976517,0.0,1.11653957,0.0,0.49166742,3.535910627,0.999537759,3.954201348,0.0,1.771497543,0.897021065,0.0,0.341369087,0.0,0.0,5.339944281,0.3712502,0.0,4.373303185,1.48090001,0.0,0.368319278,0.0,0.696163067,0.0,0.0,1.53975762,3.516125528,0.0,0.0,5.756094641,0.0,2.378577214,0.0,0.0,0.0,0.0,0.320277633,0.0,0.0,0.0,0.0,1.040165124,0.758868146,1.054821302,0.390953423,0.0,0.0,2.401784313,0.0,1.923083339,0.0,0.0,4.859165485,0.396491007,4.675890607,1.103152119,0.675984427,0.108665625,0.0,0.0,0.322491533,0.0,4.023399872,0.366390905,9.399253983,0.786116721,0.953237644,0.232493896,2.227155853,3.345300023,10.4048365,0.0,0.0,0.0,0.811689595,0.0,1.50884152,0.0,2.292535539,0.0,0.0,0.0,1.090438645,2.397345627,0.0,0.0,2.235979456,1.973646646,0.70674387,0.0,0.0,0.478227764,0.971802959,0.367674235,0.51205363,0.0,0.106840707,0.0,1.099002299,2.109642604,0.457903423,0.0,1.48090001,3.369804732,0.337256206
RNA115_FPKM,2.176189674,1.90195439,0.572075176,0.561100113,2.763852708,3.445722853,0.41259328,0.39185995,0.0,0.430829447,3.740054196,0.0,0.668401114,0.967590588,1.716037963,0.0,0.980250736,4.598336903,2.228103343,1.57721242,0.882214948,0.569291356,2.564217731,0.41259328,0.0,4.177604813,1.575356161,1.59959241,0.0,1.228033543,0.0,1.809283758,3.314251417,0.0,0.0,0.550538229,0.0,0.0,0.331414656,1.461362499,0.0,2.073939627,0.385087062,0.730493021,6.844102784,0.0,4.023639034,0.0,0.789672202,0.0,0.0,0.0,0.0,0.396845445,2.257420492,1.241063077,0.0,3.704152067,0.0,0.0,0.0,0.0,2.71572592,0.0,0.0,0.0,1.175579849,0.0,0.883627535,6.214453436,0.0,0.662829312,0.0,0.0,0.0,0.0,0.713776934,0.0,0.0,0.0,0.0,0.210757108,1.184163269,0.0,0.653571919,0.0,0.0,2.141330801,0.181438342,1.978354249,0.0,0.0,4.151808673,0.221015544,4.46664229,1.05378554,3.01372483,0.0,0.0,0.0,0.0,0.0,3.899006499,1.837328605,16.29454635,0.438090618,0.63754427,3.367912591,5.99857328,2.330159974,9.131573506,0.0,0.0,0.0,2.714014633,0.0,1.051048537,0.0,3.998981025,0.0,0.0,0.0,1.417920174,5.176493333,0.0,0.0,3.664551892,1.39974171,0.945213697,0.0,0.0,0.0,1.263655711,0.273135306,0.0,0.0,0.238107267,0.0,0.816545864,3.330905947,0.714527836,0.0,1.237779841,25.84621407,1.315419921
RNA116_FPKM,8.316290742,6.977732553,0.0,1.14349967,1.609374437,6.837911899,0.420493265,1.19808885,0.0,0.439078603,5.907584542,0.0,1.589346093,0.0,0.0,0.0,1.10984547,1.561923593,1.444860084,5.357372998,10.60757304,0.0,11.68191622,0.210136958,0.0,11.96057981,7.02362541,3.667782496,0.0,0.834364589,0.0,3.687660389,0.794732271,0.0,0.0,0.186898282,0.0,0.0,0.675409862,2.16607959,0.0,1.05671457,0.0,0.372239939,6.551762644,0.908265452,6.248101814,0.185588248,8.852084175,0.0,0.0,2.519781695,0.0,0.0,6.69204589,0.0,0.0,8.741433123,0.0,2.900180134,0.0,0.0,2.96510954,0.0,0.0,1.554285825,2.994909636,0.0,0.0,5.924206427,0.0,3.601951046,1.048350075,0.0,0.192795558,0.0,3.091351234,0.0,0.0,0.0,0.0,0.644377517,0.689572469,0.598940262,0.443984509,3.286175127,0.0,5.63721454,0.0,2.520029672,0.0,0.0,31.08801357,0.225019178,4.741542496,5.190352027,4.030950235,0.0,0.0,0.0,0.183022512,0.825695866,8.542853698,3.952531265,27.47758925,0.0,0.866193211,1.980023314,3.583343472,4.432439303,15.8048577,0.0,0.0,0.0,1.29065228,0.0,2.784664407,0.0,11.54656519,0.0,0.0,0.0,3.302568102,4.083922102,0.600448927,0.0,2.539324228,4.890234927,1.123780066,0.0,0.383928633,2.172200025,1.471534496,0.0,0.581410303,0.0,0.242666342,0.0,0.624026765,1.797029112,0.936148674,0.0,1.261479795,4.502497528,2.106419375
RNA117_FPKM,5.568960509,4.632220634,0.201857643,4.752446609,1.254284959,5.568960509,0.655458282,0.62252068,0.0,0.22806568,2.376223304,0.70187884,0.589832547,0.0,0.60577807,0.0,0.0,5.072063912,3.860591369,1.298881652,4.483643068,1.808286593,3.992901377,0.436824212,0.0,4.634312969,3.75335272,0.846982069,0.0,0.0,0.0,3.448556095,2.683612235,0.0,0.0,0.971488901,0.0,0.0,0.701759999,3.235452231,0.0,1.756814126,0.0,0.966938602,6.149184156,0.0,8.115425947,1.157576072,3.97186697,1.270365536,0.0,1.812697048,0.0,0.63044079,7.605514678,0.0,0.203349202,4.335227269,0.0,2.00916196,1.955804709,0.0,1.437816754,0.0,0.0,2.220844357,3.11218178,0.0,0.0,7.217315685,0.0,5.847960374,0.217835821,0.0,0.601367065,0.542151489,0.755887887,0.0,0.0,0.0,0.0,0.22313453,1.253801161,0.0,1.614531662,0.465720358,0.0,2.645319611,0.0,3.491609157,0.795959052,0.0,7.072451464,0.70187884,4.335681823,3.161639416,0.797881659,0.384725513,0.0,0.0,0.0,0.0,3.509419752,6.052600112,19.51394296,3.943168261,2.250042413,1.508846083,6.132873323,5.428239095,16.26938738,0.0,0.0,0.0,3.6401101,0.0,1.557957777,0.0,3.646519193,0.0,0.0,0.0,1.501304767,3.005926982,0.0,1.48205727,3.104381826,3.176021407,2.001788117,0.0,0.0,0.188063271,0.76463659,1.012263284,1.007031178,0.0,0.252090919,0.0,1.080844981,6.016716128,1.080844981,0.0,1.747518813,11.22839766,3.183634035
