,SSPOP,NRADDP,LINC01529,MFSD13B,ZNF271P,GGNBP1,PRORSD1P,AL109809.1,TP73-AS1,AC113208.3,CMAHP,TEX21P,LINC02210,BX571818.1,C3orf86,AC015871.7,CRYZL2P,C22orf46,SMPD5,COL6A4P2,BPIFB9P,Diagnosis
RNA1_FPKM,0.1364628,0.495323555,0.098397146,0.0,1.019920635,0.052943871,1.853216077,1.014636471,0.164825875,0.155551313,1.493850373,0.170576821,0.229566642,0.261654323,5.151043685,56.62288794,0.469596199,0.487368279,0.324917292,0.221715245,0.092213903,0
RNA102_FPKM,0.153540718,1.084352895,0.1442567,0.080333614,0.787652522,0.075327821,1.804921728,2.780628314,0.18858897,0.50592622,1.341226698,0.264785611,0.266172348,0.439152091,6.333524511,68.94833688,0.643478521,0.494350202,0.339040573,0.275041596,0.087467127,1
RNA104_FPKM,0.103505933,1.384678368,0.258401827,0.078937455,1.131895286,0.098665073,1.865057339,2.276151282,0.276700776,0.207069771,1.423118634,0.130047062,0.39728284,0.712695988,1.770859971,53.55142938,0.30388934,0.443673319,0.302770729,0.158925383,0.171847872,0
RNA108_FPKM,0.176679473,1.079862653,0.244468747,0.042850046,1.006435212,0.107171947,0.750346275,2.92889383,0.205046445,0.269914772,1.188073189,0.282533274,0.177042565,0.305594537,6.07449713,62.44661994,0.77902522,0.413629929,0.822199307,0.18990095,0.0,0
RNA110_FPKM,0.084023141,1.765324065,0.050744967,0.0,1.022544114,0.075097335,1.425204598,0.461920486,0.136816178,0.399207262,0.977414992,0.0,0.137819337,0.190304739,8.133396265,111.8744683,0.456371169,0.545908428,0.430102069,0.0,0.043586565,0
RNA114_FPKM,0.067087752,0.536959428,0.055151395,0.07460625,0.808067185,0.0,1.153505269,2.052166653,0.196159922,0.058725032,1.192443081,0.122928141,0.218251419,0.177284401,7.378277588,86.34872772,0.873215006,0.277378933,0.572359084,0.300433225,0.0,0
RNA115_FPKM,0.177568942,1.271618427,0.105366688,0.04158768,1.25272048,0.0,1.455305692,0.368874787,0.125978808,0.109073848,1.342011561,0.106558514,0.314771256,0.0,5.49817518,96.23161481,0.422558727,0.636653023,0.159484256,0.133928948,0.090516692,0
RNA116_FPKM,0.034921862,0.762293346,0.03579472,0.127067284,1.107417635,0.07943293,0.865118402,0.826984469,0.146001315,0.11113977,1.587745005,0.232671098,0.302546756,0.301994942,3.351799245,80.31295352,0.939516877,0.21751371,0.29252253,0.0,0.0,0
RNA126_FPKM,0.092925636,0.269270133,0.126443943,0.042759704,0.915939491,0.187080382,2.819167046,2.655937125,0.210883542,0.0,2.121048511,0.125247986,0.253861469,0.162565349,1.943997264,100.6883838,0.895602081,0.238472055,0.623289356,0.17219404,0.046556706,0
RNA132_FPKM,0.153825464,1.01760749,0.0,0.041901823,0.806098947,0.104746364,0.90436314,1.375367784,0.170511795,0.175856693,1.504090367,0.230093215,0.302778353,0.537550448,2.770283383,56.84662716,0.490334206,0.470974887,0.257131975,0.118093572,0.0,0
