,TRAV9-2,TRAV13-1,Diagnosis
RNA1_FPKM,7.05684918,5.958170835,0
RNA102_FPKM,2.486629525,4.60550104,1
RNA104_FPKM,5.072825634,6.580084766,0
RNA108_FPKM,5.510474483,6.924305444,0
RNA110_FPKM,1.525211939,6.885649076,0
RNA114_FPKM,2.308676191,3.693062211,0
RNA115_FPKM,7.323104484,6.498344165,0
RNA116_FPKM,8.26953052,11.47854487,0
RNA126_FPKM,4.682262164,10.47177719,0
RNA132_FPKM,8.576140953,6.985175767,0
RNA140_FPKM,7.747354696,13.99047683,1
RNA145_FPKM,2.224653302,3.652312513,0
RNA150_FPKM,5.338170356,8.089294113,1
RNA151_FPKM,1.288567643,3.827933351,0
RNA152_FPKM,5.548622644,7.941226864,0
RNA155_FPKM,1.785460172,6.513876522,0
RNA165_FPKM,15.16011042,7.0759253,0
RNA174_FPKM,3.665855069,9.807514898,1
RNA179_FPKM,2.918341468,3.193962607,0
RNA18_FPKM,14.40388634,2.970097712,1
RNA185_FPKM,3.776156643,6.525362018,1
RNA2_FPKM,9.536948531,6.218247511,0
RNA201_FPKM,2.476729511,9.216300106,1
RNA205_FPKM,3.572315153,7.819610233,0
RNA209_FPKM,5.937753774,9.386782356,0
RNA213_FPKM,4.579847426,10.24269777,0
RNA219_FPKM,1.44911503,4.304791713,0
RNA23_FPKM,3.244726295,4.66084809,1
RNA246_FPKM,2.506602935,3.723166211,1
RNA253_FPKM,3.294083485,5.407551944,1
RNA26_FPKM,2.609425887,6.425711248,0
RNA277_FPKM,7.644145534,36.16313772,0
RNA288_FPKM,8.64671543,14.29990998,0
RNA29_FPKM,15.87695625,3.679625199,0
RNA295_FPKM,3.398728177,9.113320458,0
RNA3_FPKM,4.794368128,8.395592091,0
RNA302_FPKM,2.284788895,7.918619067,0
RNA303_FPKM,4.010714608,9.823994831,1
RNA31_FPKM,4.010382308,4.389140637,1
RNA314_FPKM,4.80072063,16.02545,1
RNA319_FPKM,5.457177156,9.385630374,0
RNA32_FPKM,0.757067463,3.314779423,1
RNA328_FPKM,4.442873754,5.304445612,0
RNA331_FPKM,4.427922823,8.14149888,0
RNA334_FPKM,9.108692039,10.54405978,0
RNA335_FPKM,3.888558197,21.02937268,1
RNA336_FPKM,3.984693963,8.504241265,0
RNA35_FPKM,5.637390204,9.048938174,0
RNA358_FPKM,8.807352196,14.04555473,0
RNA365_FPKM,6.041184748,5.234271685,0
RNA368_FPKM,8.519288055,8.688201657,0
RNA37_FPKM,2.030663974,3.333556816,0
RNA379_FPKM,9.601830121,7.108835612,1
RNA38_FPKM,4.34386653,3.307175346,0
RNA383_FPKM,4.726709281,15.06928892,0
RNA385_FPKM,2.423035283,6.924299075,1
RNA386_FPKM,8.727473447,7.347377682,0
RNA39_FPKM,6.073047857,15.35590468,1
RNA392_FPKM,2.324838289,11.95890489,0
RNA409_FPKM,10.60552654,12.34801621,0
RNA41_FPKM,4.38136045,4.795155604,0
RNA418_FPKM,8.997231403,8.53402638,0
RNA431_FPKM,6.436972538,4.900957019,1
RNA44_FPKM,5.715098283,11.39275179,1
RNA442_FPKM,5.850758895,13.02722952,0
RNA454_FPKM,5.749240963,4.650819479,0
RNA457_FPKM,2.921877526,5.916058195,0
RNA466_FPKM,5.565772351,9.250184834,0
RNA471_FPKM,4.682499746,6.17985071,0
RNA476_FPKM,8.445202111,11.49128694,0
RNA483_FPKM,4.559863652,11.09005704,0
RNA488_FPKM,5.134815564,5.017721788,0
RNA499_FPKM,7.565726679,7.43102012,0
RNA50_FPKM,7.541978411,16.71473343,1
RNA504_FPKM,5.529567437,12.76375232,0
RNA519_FPKM,3.199895286,6.070504414,0
RNA52_FPKM,8.429125976,5.221849371,0
RNA521_FPKM,7.461836116,7.067323472,0
RNA528_FPKM,4.858623808,7.734576268,0
RNA53_FPKM,2.082289423,2.629557797,0
RNA535_FPKM,6.270074241,9.518494442,1
RNA58_FPKM,4.334742019,9.250885269,0
RNA6_FPKM,7.047897283,9.755393051,0
RNA60_FPKM,8.259688992,6.721962015,0
RNA62_FPKM,1.725019392,3.776071199,0
RNA63_FPKM,6.209698343,5.354579414,0
RNA64_FPKM,1.526716534,4.386237988,0
RNA66_FPKM,2.760667321,36.65876568,0
RNA67_FPKM,2.951339231,15.91907493,0
RNA69_FPKM,9.488139966,5.408311287,0
RNA7_FPKM,5.026138492,5.271496749,0
RNA72_FPKM,4.071117893,5.940743455,0
RNA74_FPKM,12.49742869,17.44418437,0
RNA75_FPKM,16.02138894,34.34589326,0
RNA78_FPKM,2.850540549,2.451191074,1
RNA86_FPKM,9.81256913,18.04189337,1
RNA87_FPKM,4.651253055,8.969198598,0
RNA89_FPKM,4.01051205,5.852376843,0
RNA94_FPKM,2.56026266,0.0,1
RNA95_FPKM,7.620263385,8.790933132,0
RNA97_FPKM,6.31121149,17.53411595,0
RNA98_FPKM,4.046215611,5.535447746,1
R_JS001_FPKM,2.598022337,40.84114397,1
R_JS002_FPKM,3.10541066,3.219969168,1
R_JS003_FPKM,3.046023271,6.667630368,1
R_JS004_FPKM,2.401237095,2.628020598,1
R_JS005_FPKM,1.884376701,4.81237551,1
R_JS006_FPKM,4.439558003,8.329420959,1
R_JS007_FPKM,3.65519052,1.684367595,1
R_JS008_FPKM,3.048166146,5.242612634,1
R_JS009_FPKM,2.323899547,4.069301317,1
R_JS010_FPKM,4.798615536,5.064171454,1
R_JS011_FPKM,4.868938447,2.588226284,1
R_JS012_FPKM,2.348246064,22.42824727,1
R_JS013_FPKM,4.01698812,6.045053492,1
R_JS014_FPKM,3.935634263,6.080940783,1
R_JS015_FPKM,0.945160344,2.896129153,1
R_JS016_FPKM,1.776646935,3.888697551,1
R_JS017_FPKM,2.528531861,4.044734053,1
R_JS018_FPKM,2.175571128,3.095326719,1
R_JS019_FPKM,4.440012683,3.470962296,1
R_JS020_FPKM,2.70653364,2.715509892,1
R_JS021_FPKM,0.599075076,3.715248318,1
R_JS022_FPKM,3.106756479,7.042933865,1
R_JS023_FPKM,3.092319511,2.256170047,1
R_JS024_FPKM,1.818203896,3.482193755,1
R_JS025_FPKM,2.104416353,2.072828398,1
R_JS026_FPKM,4.230761664,3.52778136,1
R_JS027_FPKM,2.053694483,2.247654518,1
R_JS028_FPKM,0.767614841,1.890415759,1
R_JS029_FPKM,5.211803608,9.295261123,1
R_JS030_FPKM,3.864588843,6.678152361,1
R_JS031_FPKM,4.757623939,1.983503242,1
R_JS032_FPKM,2.265921974,3.624544555,1
R_JS033_FPKM,1.299112833,6.397891017,1
R_JS034_FPKM,5.072667622,2.664822706,1
R_JS035_FPKM,3.944362046,7.77058263,1
R_JS036_FPKM,4.349518021,7.933916119,1
R_JS037_FPKM,5.517079716,2.767648536,1
R_JS038_FPKM,3.918342085,4.764897474,1
R_JS039_FPKM,3.542153154,9.90729279,1
R_JS040_FPKM,3.473390303,10.50989596,1
R_JS041_FPKM,3.168098231,4.62316093,1
