,TRAV9-2,TRAV13-1,TRGV3,TRGV1,TRAV25,TRAV17,TRBV25-1,TRAV41,TRGV5,TRAV12-1,TRDV2,TRAV4,TRAV13-2,TRBV24-1,TRBV15,TRAV36DV7,TRAV26-1,TRBV27,TRBV5-4,TRAV19,TRBV13,TRBV18,TRAV14DV4,TRBV7-4,TRBV7-6,TRBV4-1,TRBV2,TRAV38-2DV8,TRBV12-5,TRAV21,Diagnosis
RNA1_FPKM,7.05684918,5.958170835,3.106681255,0.341687216,0.591381721,7.550131472,2.710628901,9.693607868,1.583088869,6.308651473,3.97211389,6.435624667,4.068994717,0.625529746,1.509591977,2.008372192,3.698430065,23.81173626,2.920671978,12.07777426,0.84965003,1.113676792,3.364614119,0.457880564,1.01329436,6.602441319,6.792971151,2.011196906,0.0,6.021863624,0
RNA102_FPKM,2.486629525,4.60550104,5.894195378,1.944746521,2.431096855,6.851009873,0.0,1.121537563,1.774876871,3.324817332,1.014504772,7.059286753,1.470476614,0.593330159,1.253070027,0.634996602,1.964776467,4.284187014,1.662329287,1.61370722,0.604435269,2.993326526,6.560984159,1.085984499,2.114679087,2.828646013,6.086193602,2.289385145,2.0169202,4.17448867,1
RNA104_FPKM,5.072825634,6.580084766,4.273494654,1.591988026,3.857548876,1.835456812,1.165828211,4.846893106,4.961898065,6.314058719,0.569411315,2.81116873,4.694461983,2.914466269,2.110121371,5.198556407,3.721961452,5.54723505,6.939955971,1.426619058,0.989671701,2.07561004,9.231582854,0.213381361,1.321999696,3.572284718,7.912672079,2.061563961,0.720423075,6.042963942,0
RNA108_FPKM,5.510474483,6.924305444,3.294303497,1.210450196,1.795803926,1.162932523,0.633166214,2.39314187,1.456695051,5.912580309,6.340087747,7.532209151,4.314734092,1.688509962,1.528081462,3.388150665,3.144607619,7.272281585,2.956234075,2.582830057,0.430079254,3.757456394,15.70389226,0.0,0.615398794,3.449244834,6.684971434,1.62866404,0.391361657,3.985291573,0
RNA110_FPKM,1.525211939,6.885649076,2.377963983,0.0,1.677501625,1.551927285,0.591514701,8.048216572,0.408273734,3.755784291,1.877884437,4.56405193,6.961951391,0.0,1.249011528,1.477061385,2.238113609,7.569766721,2.62346684,3.21698878,0.602585832,4.738550152,4.065018148,0.0,6.131974531,10.06916978,7.315361452,2.091900266,0.182724211,14.23469252,0
RNA114_FPKM,2.308676191,3.693062211,1.042421236,0.902836297,1.215383477,2.313141338,0.551028841,0.624827346,5.324025986,3.910301164,2.556735377,8.502990437,1.36531757,0.36735256,1.32964419,0.393149791,2.21516028,1.446460475,3.987389986,2.547197153,1.12251037,0.653872787,1.646450657,0.806505916,0.357044198,2.626270997,8.476539694,1.417165073,0.0,2.651948744,0
RNA115_FPKM,7.323104484,6.498344165,7.841577317,0.167781693,2.902581407,6.1224069,4.502789658,1.392502321,3.24924157,4.128359823,1.049806283,4.54071227,2.092243383,1.023461961,0.926220919,1.533424907,6.09900458,8.664558001,10.03434892,2.838759244,0.834012085,4.919396885,4.587156722,1.123743536,1.193573418,3.763116192,98.54094064,11.45024693,0.189826003,3.182862448,0
RNA116_FPKM,8.26953052,11.47854487,8.139175586,1.025460995,0.197101166,7.224324895,0.417182294,2.83808277,12.09285071,12.38762011,7.335511841,1.408281348,2.519781695,1.042846925,1.509983141,2.678639918,4.291464246,9.035072995,1.168571512,4.083922102,4.037077388,3.342138255,2.430848223,0.916117891,1.419059011,3.621770748,4.341472332,2.816562696,0.386731032,5.560325427,0
RNA126_FPKM,4.682262164,10.47177719,5.825315379,0.517530351,3.582444841,3.977331605,0.0,7.877652179,1.162401143,7.784973918,16.5046366,4.264245275,5.282146609,0.210543843,0.762158711,1.802374806,2.987261973,12.4355846,17.84073472,3.263260118,1.930113998,1.686594943,1.887246682,0.0,1.636850589,1.935288567,5.525212633,2.030581873,0.0,7.015275566,0
RNA132_FPKM,8.576140953,6.985175767,6.438747403,0.169049075,2.534868235,6.981403999,3.712607763,4.209832017,1.281174021,6.702727225,1.511184383,9.151450619,8.433188671,1.031369184,6.719524172,2.428156457,3.365675564,19.08704587,5.922557602,2.355802395,1.260620427,2.937588595,4.807303053,1.13242553,0.0,1.264000106,8.399560986,4.973628904,0.0,9.164033574,0
RNA140_FPKM,7.747354696,13.99047683,3.26847559,0.328291675,2.650977276,8.514052877,1.802696981,2.72550615,1.659003743,9.875550455,3.81560367,4.63660324,5.211433376,3.004280131,5.075267658,2.357868892,4.263209149,12.22569058,4.208351678,7.84350441,2.040412935,7.131910632,4.309313599,1.759247288,5.25612448,5.114598304,9.244320845,4.443471878,0.557037753,11.12411717,1
RNA145_FPKM,2.224653302,3.652312513,2.040359316,0.0,0.724990406,1.509148418,0.575221921,1.521817516,1.190971472,2.577980592,5.197454983,3.143692455,2.850602288,0.575221921,1.214562198,0.820705432,2.856479802,1.50992834,1.879892226,2.0333777,1.56241248,1.877340699,1.718653728,0.84199174,1.304415014,5.091621373,5.031672979,0.924671187,0.0,4.046192672,0
RNA150_FPKM,5.338170356,8.089294113,4.669818437,1.565625988,0.401442561,2.507110917,1.273868914,2.166714537,1.905034037,4.758514894,0.466676977,5.324656001,6.510911835,1.061557428,2.305672476,1.590547001,2.25966794,8.9880636,4.31233667,3.291229953,1.730281841,2.645956693,1.52264802,1.864914722,2.476245185,7.156766361,10.18377415,1.843078695,0.787257188,4.245229481,1
RNA151_FPKM,1.288567643,3.827933351,1.620782784,0.311894512,3.599505189,0.299650719,0.0,2.374451696,0.525579924,2.773078582,1.534261096,2.570610893,1.415220089,0.0,0.689121421,0.814944152,0.270076254,4.872743301,1.466573106,2.640185944,0.0,1.525198181,1.365271145,0.0,0.369976909,2.333405777,2.756485684,0.367166957,0.0,4.017655995,0
RNA152_FPKM,5.548622644,7.941226864,3.131594657,0.723220714,1.877868558,3.127010273,1.544849528,3.503498036,2.89414792,5.935188126,4.850874911,7.450251304,6.56255686,1.103397143,2.596386368,0.94465627,2.97499004,15.6431315,3.245887887,3.600998567,10.34177447,10.21568842,2.57194979,0.969157441,3.860900439,6.988074083,12.18291351,4.044480131,0.204614792,5.88327686,0
RNA155_FPKM,1.785460172,6.513876522,0.727849885,0.0,0.77589159,3.71459999,0.410346864,1.395912101,1.840861628,6.207300926,5.110922805,11.08178933,4.003717658,0.0,11.88283944,1.976043,3.63899471,13.12880228,2.299023624,5.858353182,12.12205599,1.826267256,6.43729632,1.576938166,3.190481764,6.705999204,4.827342606,2.374644407,6.085979813,9.571370521,0
RNA165_FPKM,15.16011042,7.0759253,6.706509011,1.133400249,3.051382558,2.359265911,1.152778598,0.522752797,3.659967378,8.783946334,0.33777873,5.114688588,8.141052763,0.691768257,1.877897439,0.98703982,2.453679585,4.993487138,4.682597625,5.078561388,1.174354668,1.847184163,1.86022311,0.759549585,3.137008089,3.296802066,7.71973673,2.446176611,0.641274224,8.707118815,0
RNA174_FPKM,3.665855069,9.807514898,2.540381783,1.380477425,1.194588363,5.968560663,2.316735803,2.627012919,0.145383055,8.49642165,12.96248944,7.313375597,7.437283544,0.210633717,3.430752725,2.254002513,3.287435161,10.16011006,4.277780891,4.639421654,4.505618277,5.624473561,7.74127198,1.156360895,2.86589459,7.099273519,8.005231523,6.094366289,1.171336035,5.848708513,1
RNA179_FPKM,2.918341468,3.193962607,2.600092626,0.883077709,5.095047336,1.866689128,0.862178655,1.711051396,3.719753762,2.415695503,5.054264126,4.574381962,2.203603752,0.862178655,1.365589713,0.46146667,1.529490635,2.546626367,0.754836645,1.406968601,0.878315688,1.535173683,5.024576809,0.473435546,1.88570256,4.403749974,2.146027407,1.6634287,0.199856611,5.507352601,0
RNA18_FPKM,14.40388634,2.970097712,3.216480661,1.238172125,1.632791411,6.287553156,1.942991704,1.468705767,0.0,12.09532619,4.586847671,0.0,7.823672021,0.215918374,1.562980852,6.006939192,8.117507152,8.076073974,3.175092123,5.635878994,0.219959627,3.074592553,2.709411945,0.0,0.0,6.173983615,2.735154576,0.0,2.001071715,9.831285903,1
RNA185_FPKM,3.776156643,6.525362018,4.520373305,1.852310987,0.388635923,0.485393421,0.616615264,2.796531987,1.418504476,3.915251295,5.420969698,3.171836207,3.055793419,0.0,1.673882024,0.439944598,4.37454437,27.51759611,2.73493698,10.39570453,0.837541589,4.390816578,2.210905289,1.579492954,1.597944371,5.03825602,5.20786235,1.585808085,0.571606851,4.793991486,1
RNA2_FPKM,9.536948531,6.218247511,9.974787776,0.343906338,3.570903028,7.433143128,0.0,2.855391759,1.303430133,10.34625464,1.383641218,4.857560023,4.874758308,0.62947807,2.658529752,3.368659482,2.382043711,10.53566812,1.469660264,8.217285693,0.641259745,2.054695983,10.91051201,0.460854315,1.835442433,3.215128085,3.608048972,1.416870985,0.194439652,5.826970573,0
RNA201_FPKM,2.476729511,9.216300106,10.90314444,0.279739405,1.129972325,1.344073148,2.902831742,1.742637838,1.296386118,23.34352613,0.0,5.764462982,31.57586216,0.512211435,2.008913548,1.279154064,1.574958294,32.78004443,1.793807771,3.064690094,1.391584439,3.191907805,6.122810019,1.124798598,8.629778389,17.44125633,19.93391385,5.105662247,0.316493488,3.603666814,1
RNA205_FPKM,3.572315153,7.819610233,1.850195361,0.178069938,5.957933198,2.566038165,0.0,0.985744298,2.999818357,5.113830159,7.005787597,4.401777859,5.048566679,0.869317806,2.556668479,0.465182702,0.925027528,9.84118669,4.413689483,1.950219245,1.328181237,5.416459247,4.091064128,0.0,2.112117007,9.322800291,8.653229336,1.676822341,0.0,2.896661541,0
RNA209_FPKM,5.937753774,9.386782356,2.420313457,0.186392421,2.364997978,3.938405723,1.819297952,1.547271817,1.7266199,6.370970692,4.332312521,14.91641981,5.494640271,1.137036364,2.263881674,2.433981662,2.097652024,22.38933247,2.867003661,4.081773811,1.390062381,4.858722715,7.543286344,1.997557694,4.641815451,3.949001382,10.49645679,2.193664485,0.843343409,4.547084523,0
RNA213_FPKM,4.579847426,10.24269777,3.798536605,0.506138218,0.778674181,4.862850934,2.6770227,1.867891041,1.2790993,7.384117175,0.60347249,2.979363281,11.67260553,0.823636995,10.24954804,3.305754202,3.214168458,28.98990588,4.326507081,7.559889396,1.25857899,5.865887476,3.692013211,0.452169589,2.802033348,11.77885027,10.62223889,2.780752082,0.0,7.090811708,0
RNA219_FPKM,1.44911503,4.304791713,0.911334911,0.175407472,1.214359423,2.359302983,0.642239957,2.184762711,1.182093834,6.717074375,3.921368969,5.368800857,1.591501943,1.4985599,3.099837513,1.145568463,1.367002367,5.690544736,4.498040876,2.445187674,0.0,3.43028164,3.262578982,0.470112245,0.832290557,6.560145406,6.005935181,0.619477022,0.396907419,8.084908099,0
RNA23_FPKM,3.244726295,4.66084809,7.737191846,2.061971226,1.784339186,2.971440877,0.0,4.042558846,8.684933155,7.520130355,0.307221584,5.86611745,3.507749718,0.419305049,1.897782195,5.162234912,3.124590898,9.290797295,3.671894949,1.026468445,0.213576502,9.894274844,1.879920715,0.230194847,1.630640511,2.570553942,8.161005532,4.24786155,0.0,3.028263068,1
RNA246_FPKM,2.506602935,3.723166211,1.444988061,0.303430778,2.625680428,2.769297182,0.0,1.679510778,0.0,2.074738038,2.034902332,5.536319192,2.580851738,0.740657804,2.178275298,3.368664394,1.970482705,4.010291482,2.723226374,3.021172359,0.377260192,1.483325414,1.493795946,0.0,2.159454706,5.673722319,3.183705073,3.571867068,0.0,6.169966253,1
