,TRAV9-2,TRAV13-1,TRGV3,TRGV1,TRAV25,TRAV17,TRBV25-1,TRAV41,TRGV5,TRAV12-1,TRDV2,TRAV4,TRAV13-2,TRBV24-1,TRBV15,TRAV36DV7,TRAV26-1,TRBV27,TRBV5-4,TRAV19,TRBV13,TRBV18,TRAV14DV4,TRBV7-4,TRBV7-6,TRBV4-1,TRBV2,TRAV38-2DV8,TRBV12-5,TRAV21,TRBV7-2,TRBV5-6,TRAV38-1,TRBV30,TRBV28,TRBV6-2,TRAV23DV6,TRAV8-6,TRGV9,TRAV8-4,TRBV7-9,TRAV20,TRBV11-3,TRGV2,TRBV29-1,TRBV6-5,TRAV8-3,TRAV1-1,TRBV19,TRAV10,TRBV5-1,Diagnosis
RNA1_FPKM,7.05684918,5.958170835,3.106681255,0.341687216,0.591381721,7.550131472,2.710628901,9.693607868,1.583088869,6.308651473,3.97211389,6.435624667,4.068994717,0.625529746,1.509591977,2.008372192,3.698430065,23.81173626,2.920671978,12.07777426,0.84965003,1.113676792,3.364614119,0.457880564,1.01329436,6.602441319,6.792971151,2.011196906,0.0,6.021863624,2.822822054,0.0,0.450097891,5.331696497,21.3878597,1.311547039,0.97117699,3.823425135,3.52563357,4.742822555,8.241616296,1.56536508,1.215953232,3.504806374,1.383323245,6.200174984,4.659371132,2.02658872,2.446591889,1.467271622,3.167943593,0
RNA102_FPKM,2.486629525,4.60550104,5.894195378,1.944746521,2.431096855,6.851009873,0.0,1.121537563,1.774876871,3.324817332,1.014504772,7.059286753,1.470476614,0.593330159,1.253070027,0.634996602,1.964776467,4.284187014,1.662329287,1.61370722,0.604435269,2.993326526,6.560984159,1.085984499,2.114679087,2.828646013,6.086193602,2.289385145,2.0169202,4.17448867,0.956438125,0.0,0.640393174,1.517334098,6.418210759,0.0,3.685091794,2.015040808,2.345568888,3.69580662,3.474901508,1.670562418,2.114679087,4.294538081,2.99947966,6.065694089,4.419948809,1.537998499,12.42374695,1.988393857,1.502656492,1
RNA104_FPKM,5.072825634,6.580084766,4.273494654,1.591988026,3.857548876,1.835456812,1.165828211,4.846893106,4.961898065,6.314058719,0.569411315,2.81116873,4.694461983,2.914466269,2.110121371,5.198556407,3.721961452,5.54723505,6.939955971,1.426619058,0.989671701,2.07561004,9.231582854,0.213381361,1.321999696,3.572284718,7.912672079,2.061563961,0.720423075,6.042963942,1.503014639,1.156720178,2.516603674,3.974592278,6.711191891,1.047595633,1.267051053,1.319562268,2.431998038,4.419481092,5.12000792,5.47000812,1.321999696,6.53177481,1.289114131,14.98596588,3.690377911,2.077341236,18.90906873,1.757865699,2.38434386,0
RNA108_FPKM,5.510474483,6.924305444,3.294303497,1.210450196,1.795803926,1.162932523,0.633166214,2.39314187,1.456695051,5.912580309,6.340087747,7.532209151,4.314734092,1.688509962,1.528081462,3.388150665,3.144607619,7.272281585,2.956234075,2.582830057,0.430079254,3.757456394,15.70389226,0.0,0.615398794,3.449244834,6.684971434,1.62866404,0.391361657,3.985291573,1.632797705,0.209340329,2.277891412,12.23260084,6.62737163,1.517269565,1.769459614,2.006628667,3.846774761,4.114905371,3.939351612,3.763065642,0.615398794,6.799506611,2.000237981,7.648956721,7.074379101,0.0,16.0239219,0.848609535,0.369994367,0
RNA110_FPKM,1.525211939,6.885649076,2.377963983,0.0,1.677501625,1.551927285,0.591514701,8.048216572,0.408273734,3.755784291,1.877884437,4.56405193,6.961951391,0.0,1.249011528,1.477061385,2.238113609,7.569766721,2.62346684,3.21698878,0.602585832,4.738550152,4.065018148,0.0,6.131974531,10.06916978,7.315361452,2.091900266,0.182724211,14.23469252,2.47842616,0.391144015,0.425493773,5.713497356,16.09615231,0.531526182,2.571148063,2.677956792,1.601902259,5.7658865,3.463593683,1.295157274,0.574916074,5.247058952,2.242289194,4.5802443,5.286805021,1.724574375,2.721619131,2.180212679,1.728170793,0
RNA114_FPKM,2.308676191,3.693062211,1.042421236,0.902836297,1.215383477,2.313141338,0.551028841,0.624827346,5.324025986,3.910301164,2.556735377,8.502990437,1.36531757,0.36735256,1.32964419,0.393149791,2.21516028,1.446460475,3.987389986,2.547197153,1.12251037,0.653872787,1.646450657,0.806505916,0.357044198,2.626270997,8.476539694,1.417165073,0.0,2.651948744,0.710298357,0.182241309,1.387534111,2.504609413,5.766921675,0.0,2.73731151,0.873082961,2.903758982,1.193561202,1.411526055,0.689304317,0.535566297,5.402320486,1.74065057,2.21858151,4.309086871,0.892444427,5.07047286,0.369291096,0.321996915,0
RNA115_FPKM,7.323104484,6.498344165,7.841577317,0.167781693,2.902581407,6.1224069,4.502789658,1.392502321,3.24924157,4.128359823,1.049806283,4.54071227,2.092243383,1.023461961,0.926220919,1.533424907,6.09900458,8.664558001,10.03434892,2.838759244,0.834012085,4.919396885,4.587156722,1.123743536,1.193573418,3.763116192,98.54094064,11.45024693,0.189826003,3.182862448,2.573045805,2.030732552,1.325441303,16.2241397,26.56487042,0.367830802,5.147926325,3.336048342,2.067484714,7.482183809,7.640704379,1.728718047,7.161440509,12.61457381,1.939804228,9.129381071,6.631853744,1.193573418,5.93327076,1.440367459,6.936882729,0
RNA116_FPKM,8.26953052,11.47854487,8.139175586,1.025460995,0.197101166,7.224324895,0.417182294,2.83808277,12.09285071,12.38762011,7.335511841,1.408281348,2.519781695,1.042846925,1.509983141,2.678639918,4.291464246,9.035072995,1.168571512,4.083922102,4.037077388,3.342138255,2.430848223,0.916117891,1.419059011,3.621770748,4.341472332,2.816562696,0.386731032,5.560325427,0.0,0.0,0.67529242,4.444533123,3.493100877,0.562212793,1.554285825,3.116301546,7.191023662,4.23604756,2.519204729,0.0,3.040750089,10.22557229,2.767518072,17.2501909,4.427762297,0.0,6.334371828,1.258151352,0.48756581,0
RNA126_FPKM,4.682262164,10.47177719,5.825315379,0.517530351,3.582444841,3.977331605,0.0,7.877652179,1.162401143,7.784973918,16.5046366,4.264245275,5.282146609,0.210543843,0.762158711,1.802374806,2.987261973,12.4355846,17.84073472,3.263260118,1.930113998,1.686594943,1.887246682,0.0,1.636850589,1.935288567,5.525212633,2.030581873,0.0,7.015275566,0.610790896,0.0,3.635646079,27.09530024,22.47616761,0.378383039,4.706671141,6.147898346,9.662095701,3.420383112,5.778806055,1.185248824,0.0,4.865608699,0.0,9.586034629,5.174762722,0.0,9.299710253,0.0,1.476248847,0
RNA132_FPKM,8.576140953,6.985175767,6.438747403,0.169049075,2.534868235,6.981403999,3.712607763,4.209832017,1.281174021,6.702727225,1.511184383,9.151450619,8.433188671,1.031369184,6.719524172,2.428156457,3.365675564,19.08704587,5.922557602,2.355802395,1.260620427,2.937588595,4.807303053,1.13242553,0.0,1.264000106,8.399560986,4.973628904,0.0,9.164033574,1.595654007,1.023311612,6.678321918,6.504535785,18.13426064,1.111962357,1.152743373,3.501931225,1.585244551,2.680784474,3.849843626,1.935507091,0.80189755,12.56745281,3.323123727,9.008154573,6.683071133,1.603795099,8.826287886,0.621994775,2.410478156,0
