,TRAV9-2,TRAV13-1,TRGV3,TRGV1,TRAV25,TRAV17,TRBV25-1,TRAV41,Diagnosis
RNA1_FPKM,7.05684918,5.958170835,3.106681255,0.341687216,0.591381721,7.550131472,2.710628901,9.693607868,0
RNA102_FPKM,2.486629525,4.60550104,5.894195378,1.944746521,2.431096855,6.851009873,0.0,1.121537563,1
RNA104_FPKM,5.072825634,6.580084766,4.273494654,1.591988026,3.857548876,1.835456812,1.165828211,4.846893106,0
RNA108_FPKM,5.510474483,6.924305444,3.294303497,1.210450196,1.795803926,1.162932523,0.633166214,2.39314187,0
RNA110_FPKM,1.525211939,6.885649076,2.377963983,0.0,1.677501625,1.551927285,0.591514701,8.048216572,0
RNA114_FPKM,2.308676191,3.693062211,1.042421236,0.902836297,1.215383477,2.313141338,0.551028841,0.624827346,0
RNA115_FPKM,7.323104484,6.498344165,7.841577317,0.167781693,2.902581407,6.1224069,4.502789658,1.392502321,0
RNA116_FPKM,8.26953052,11.47854487,8.139175586,1.025460995,0.197101166,7.224324895,0.417182294,2.83808277,0
RNA126_FPKM,4.682262164,10.47177719,5.825315379,0.517530351,3.582444841,3.977331605,0.0,7.877652179,0
RNA132_FPKM,8.576140953,6.985175767,6.438747403,0.169049075,2.534868235,6.981403999,3.712607763,4.209832017,0
RNA140_FPKM,7.747354696,13.99047683,3.26847559,0.328291675,2.650977276,8.514052877,1.802696981,2.72550615,1
RNA145_FPKM,2.224653302,3.652312513,2.040359316,0.0,0.724990406,1.509148418,0.575221921,1.521817516,0
RNA150_FPKM,5.338170356,8.089294113,4.669818437,1.565625988,0.401442561,2.507110917,1.273868914,2.166714537,1
RNA151_FPKM,1.288567643,3.827933351,1.620782784,0.311894512,3.599505189,0.299650719,0.0,2.374451696,0
RNA152_FPKM,5.548622644,7.941226864,3.131594657,0.723220714,1.877868558,3.127010273,1.544849528,3.503498036,0
RNA155_FPKM,1.785460172,6.513876522,0.727849885,0.0,0.77589159,3.71459999,0.410346864,1.395912101,0
RNA165_FPKM,15.16011042,7.0759253,6.706509011,1.133400249,3.051382558,2.359265911,1.152778598,0.522752797,0
RNA174_FPKM,3.665855069,9.807514898,2.540381783,1.380477425,1.194588363,5.968560663,2.316735803,2.627012919,1
RNA179_FPKM,2.918341468,3.193962607,2.600092626,0.883077709,5.095047336,1.866689128,0.862178655,1.711051396,0
RNA18_FPKM,14.40388634,2.970097712,3.216480661,1.238172125,1.632791411,6.287553156,1.942991704,1.468705767,1
RNA185_FPKM,3.776156643,6.525362018,4.520373305,1.852310987,0.388635923,0.485393421,0.616615264,2.796531987,1
RNA2_FPKM,9.536948531,6.218247511,9.974787776,0.343906338,3.570903028,7.433143128,0.0,2.855391759,0
RNA201_FPKM,2.476729511,9.216300106,10.90314444,0.279739405,1.129972325,1.344073148,2.902831742,1.742637838,1
RNA205_FPKM,3.572315153,7.819610233,1.850195361,0.178069938,5.957933198,2.566038165,0.0,0.985744298,0
RNA209_FPKM,5.937753774,9.386782356,2.420313457,0.186392421,2.364997978,3.938405723,1.819297952,1.547271817,0
RNA213_FPKM,4.579847426,10.24269777,3.798536605,0.506138218,0.778674181,4.862850934,2.6770227,1.867891041,0
RNA219_FPKM,1.44911503,4.304791713,0.911334911,0.175407472,1.214359423,2.359302983,0.642239957,2.184762711,0
RNA23_FPKM,3.244726295,4.66084809,7.737191846,2.061971226,1.784339186,2.971440877,0.0,4.042558846,1
RNA246_FPKM,2.506602935,3.723166211,1.444988061,0.303430778,2.625680428,2.769297182,0.0,1.679510778,1
RNA253_FPKM,3.294083485,5.407551944,1.963741258,0.697687964,1.207641873,2.178779041,2.128883407,0.965550307,1
RNA26_FPKM,2.609425887,6.425711248,3.031372159,0.0,1.488171339,1.947185227,0.0,1.019954166,0
RNA277_FPKM,7.644145534,36.16313772,3.799324253,0.208870302,2.651813665,7.627835499,0.765031957,7.518055906,0
RNA288_FPKM,8.64671543,14.29990998,6.344145027,0.651295256,4.508535885,5.787399361,1.589547734,5.40755941,0
RNA29_FPKM,15.87695625,3.679625199,6.715291726,0.633053798,1.826116724,3.193063189,0.0,2.847329023,0
