,TRAV9-2,TRAV13-1,TRGV3,TRGV1,TRAV25,TRAV17,TRBV25-1,TRAV41,TRGV5,TRAV12-1,TRDV2,TRAV4,TRAV13-2,TRBV24-1,TRBV15,TRAV36DV7,TRAV26-1,TRBV27,TRBV5-4,TRAV19,TRBV13,TRBV18,TRAV14DV4,TRBV7-4,TRBV7-6,TRBV4-1,TRBV2,TRAV38-2DV8,TRBV12-5,TRAV21,TRBV7-2,TRBV5-6,TRAV38-1,TRBV30,TRBV28,TRBV6-2,TRAV23DV6,TRAV8-6,TRGV9,TRAV8-4,TRBV7-9,TRAV20,TRBV11-3,TRGV2,TRBV29-1,TRBV6-5,TRAV8-3,TRAV1-1,TRBV19,TRAV10,TRBV5-1,TRAV5,TRAV30,TRBV20-1,TRAV16,TRAV34,TRAV2,TRAV12-3,TRDV1,TRAV6,TRBV16,TRAV40,TRBV4-2,TRGV4,TRBV23-1,TRGV8,TRAV8-1,TRAV12-2,TRAV22,TRDV3,TRAV18,TRAV1-2,TRBV10-3,TRAV8-2,TRBV10-2,TRBV12-3,TRAV27,TRBV5-5,TRBV6-1,TRAV3,TRBV3-1,TRBV9,TRBV12-4,TRBV14,TRGV10,Diagnosis
RNA1_FPKM,7.05684918,5.958170835,3.106681255,0.341687216,0.591381721,7.550131472,2.710628901,9.693607868,1.583088869,6.308651473,3.97211389,6.435624667,4.068994717,0.625529746,1.509591977,2.008372192,3.698430065,23.81173626,2.920671978,12.07777426,0.84965003,1.113676792,3.364614119,0.457880564,1.01329436,6.602441319,6.792971151,2.011196906,0.0,6.021863624,2.822822054,0.0,0.450097891,5.331696497,21.3878597,1.311547039,0.97117699,3.823425135,3.52563357,4.742822555,8.241616296,1.56536508,1.215953232,3.504806374,1.383323245,6.200174984,4.659371132,2.02658872,2.446591889,1.467271622,3.167943593,1.354129735,1.17866881,4.039437854,8.933991284,0.0,3.880800927,5.176689782,2.041343327,2.949589522,1.144701409,0.0,1.222188889,10.39204049,0.915761127,3.904214507,1.007724454,3.927483397,1.027270834,0.373846013,0.0,1.383323245,4.749266608,2.2457181,0.402239381,10.1000423,1.308461046,3.631646985,11.49020191,3.673631344,2.031771811,0.407396296,3.52207143,0.0,13.34366161,0
RNA102_FPKM,2.486629525,4.60550104,5.894195378,1.944746521,2.431096855,6.851009873,0.0,1.121537563,1.774876871,3.324817332,1.014504772,7.059286753,1.470476614,0.593330159,1.253070027,0.634996602,1.964776467,4.284187014,1.662329287,1.61370722,0.604435269,2.993326526,6.560984159,1.085984499,2.114679087,2.828646013,6.086193602,2.289385145,2.0169202,4.17448867,0.956438125,0.0,0.640393174,1.517334098,6.418210759,0.0,3.685091794,2.015040808,2.345568888,3.69580662,3.474901508,1.670562418,2.114679087,4.294538081,2.99947966,6.065694089,4.419948809,1.537998499,12.42374695,1.988393857,1.502656492,2.997400463,0.447198399,4.926743402,2.977908914,0.431821949,1.299395262,4.533048207,3.550279174,1.119281067,0.0,0.0,0.99382319,6.681733331,0.434310837,2.576476118,1.911854402,2.878974727,0.649594225,0.709204049,0.0,4.686664589,3.686132292,1.198318625,0.381533824,6.448998623,0.709204049,1.507264233,5.826006774,3.484944576,0.0,0.193212641,2.041759118,0.0,12.21682208,1
RNA104_FPKM,5.072825634,6.580084766,4.273494654,1.591988026,3.857548876,1.835456812,1.165828211,4.846893106,4.961898065,6.314058719,0.569411315,2.81116873,4.694461983,2.914466269,2.110121371,5.198556407,3.721961452,5.54723505,6.939955971,1.426619058,0.989671701,2.07561004,9.231582854,0.213381361,1.321999696,3.572284718,7.912672079,2.061563961,0.720423075,6.042963942,1.503014639,1.156720178,2.516603674,3.974592278,6.711191891,1.047595633,1.267051053,1.319562268,2.431998038,4.419481092,5.12000792,5.47000812,1.321999696,6.53177481,1.289114131,14.98596588,3.690377911,2.077341236,18.90906873,1.757865699,2.38434386,5.678105965,1.098330018,9.320531188,2.025018541,0.424317091,3.403606267,4.081594195,1.585170091,0.732905653,0.0,0.233575181,1.138953584,13.44963802,3.200033569,4.587136676,2.034513708,9.315670257,0.478557223,0.870911097,0.504660344,0.920739344,3.419616488,1.569542574,1.124507718,15.20364142,1.045130702,3.384157088,9.230354517,1.9968561,1.136011633,0.379709397,1.2764135,0.0,14.02463736,0
RNA108_FPKM,5.510474483,6.924305444,3.294303497,1.210450196,1.795803926,1.162932523,0.633166214,2.39314187,1.456695051,5.912580309,6.340087747,7.532209151,4.314734092,1.688509962,1.528081462,3.388150665,3.144607619,7.272281585,2.956234075,2.582830057,0.430079254,3.757456394,15.70389226,0.0,0.615398794,3.449244834,6.684971434,1.62866404,0.391361657,3.985291573,1.632797705,0.209340329,2.277891412,12.23260084,6.62737163,1.517269565,1.769459614,2.006628667,3.846774761,4.114905371,3.939351612,3.763065642,0.615398794,6.799506611,2.000237981,7.648956721,7.074379101,0.0,16.0239219,0.848609535,0.369994367,0.913701744,0.477298638,8.566784396,3.177300899,0.460887223,3.003827574,1.813806973,0.860997791,0.995262298,1.853954743,0.0,0.883705425,5.726988262,1.158749188,3.264539851,4.420008439,5.421041064,1.039811756,0.567614888,0.182697015,1.600304218,1.966600495,2.557275555,0.407214281,10.22348228,1.513699519,3.675909495,7.820629066,3.56344444,1.645325564,0.0,0.792174911,0.0,13.66362739,0
RNA110_FPKM,1.525211939,6.885649076,2.377963983,0.0,1.677501625,1.551927285,0.591514701,8.048216572,0.408273734,3.755784291,1.877884437,4.56405193,6.961951391,0.0,1.249011528,1.477061385,2.238113609,7.569766721,2.62346684,3.21698878,0.602585832,4.738550152,4.065018148,0.0,6.131974531,10.06916978,7.315361452,2.091900266,0.182724211,14.23469252,2.47842616,0.391144015,0.425493773,5.713497356,16.09615231,0.531526182,2.571148063,2.677956792,1.601902259,5.7658865,3.463593683,1.295157274,0.574916074,5.247058952,2.242289194,4.5802443,5.286805021,1.724574375,2.721619131,2.180212679,1.728170793,1.066950008,0.0,2.182567206,2.054812021,0.0,4.101051612,4.141686872,0.643397756,0.743729584,0.0,0.473814832,2.31120782,7.751793223,0.649472914,1.444515288,1.111699478,4.895206551,0.971263047,0.0,0.682878982,3.550164082,0.0,3.185159916,0.380251397,6.978973277,0.883685654,0.858476434,5.619617372,3.763005422,0.768457166,0.770427569,0.555091382,0.555091382,6.602019381,0
RNA114_FPKM,2.308676191,3.693062211,1.042421236,0.902836297,1.215383477,2.313141338,0.551028841,0.624827346,5.324025986,3.910301164,2.556735377,8.502990437,1.36531757,0.36735256,1.32964419,0.393149791,2.21516028,1.446460475,3.987389986,2.547197153,1.12251037,0.653872787,1.646450657,0.806505916,0.357044198,2.626270997,8.476539694,1.417165073,0.0,2.651948744,0.710298357,0.182241309,1.387534111,2.504609413,5.766921675,0.0,2.73731151,0.873082961,2.903758982,1.193561202,1.411526055,0.689304317,0.535566297,5.402320486,1.74065057,2.21858151,4.309086871,0.892444427,5.07047286,0.369291096,0.321996915,11.92704255,0.0,17.95908953,1.063338041,0.801884105,1.608563804,1.929128301,0.299703053,0.865936177,0.0,0.0,1.691697125,5.69543812,0.806505916,13.15722701,1.183467661,1.572452875,0.904782065,0.658488359,0.318093922,1.392488069,0.76048248,1.112651708,0.531498705,3.59266167,1.481790274,1.599372011,5.060296326,1.213412074,0.536936031,0.53831279,0.517098493,0.0,10.65984514,0
RNA115_FPKM,7.323104484,6.498344165,7.841577317,0.167781693,2.902581407,6.1224069,4.502789658,1.392502321,3.24924157,4.128359823,1.049806283,4.54071227,2.092243383,1.023461961,0.926220919,1.533424907,6.09900458,8.664558001,10.03434892,2.838759244,0.834012085,4.919396885,4.587156722,1.123743536,1.193573418,3.763116192,98.54094064,11.45024693,0.189826003,3.182862448,2.573045805,2.030732552,1.325441303,16.2241397,26.56487042,0.367830802,5.147926325,3.336048342,2.067484714,7.482183809,7.640704379,1.728718047,7.161440509,12.61457381,1.939804228,9.129381071,6.631853744,1.193573418,5.93327076,1.440367459,6.936882729,3.987620283,0.694298953,2.454673237,1.42213003,0.67042621,2.240808333,2.540802123,3.172721257,1.158120742,0.0,0.0,5.313016235,26.06916181,1.123743536,1.999490512,0.494669656,15.59611219,34.95694066,0.733930635,1.772275681,6.40144937,2.119025271,2.893323475,0.0,5.719813935,2.201791905,2.450913677,2.528129793,4.657846603,1.396161808,0.999843608,2.304831428,0.0,14.31681432,0
RNA116_FPKM,8.26953052,11.47854487,8.139175586,1.025460995,0.197101166,7.224324895,0.417182294,2.83808277,12.09285071,12.38762011,7.335511841,1.408281348,2.519781695,1.042846925,1.509983141,2.678639918,4.291464246,9.035072995,1.168571512,4.083922102,4.037077388,3.342138255,2.430848223,0.916117891,1.419059011,3.621770748,4.341472332,2.816562696,0.386731032,5.560325427,0.0,0.0,0.67529242,4.444533123,3.493100877,0.562212793,1.554285825,3.116301546,7.191023662,4.23604756,2.519204729,0.0,3.040750089,10.22557229,2.767518072,17.2501909,4.427762297,0.0,6.334371828,1.258151352,0.48756581,4.063736288,0.471651199,11.92980248,1.932227667,0.0,0.684994897,3.9834126,8.338111194,0.0,4.580350511,0.501408373,0.349332866,13.74507159,0.916117891,5.263809304,2.016058797,3.392959423,1.198860199,0.0,0.903010633,8.302554216,2.807365475,1.544459436,0.0,6.800380593,1.495771535,1.589346093,12.48488826,3.521695282,0.609662977,0.0,3.327390367,1.174481188,20.79817617,0
RNA126_FPKM,4.682262164,10.47177719,5.825315379,0.517530351,3.582444841,3.977331605,0.0,7.877652179,1.162401143,7.784973918,16.5046366,4.264245275,5.282146609,0.210543843,0.762158711,1.802374806,2.987261973,12.4355846,17.84073472,3.263260118,1.930113998,1.686594943,1.887246682,0.0,1.636850589,1.935288567,5.525212633,2.030581873,0.0,7.015275566,0.610790896,0.0,3.635646079,27.09530024,22.47616761,0.378383039,4.706671141,6.147898346,9.662095701,3.420383112,5.778806055,1.185248824,0.0,4.865608699,0.0,9.586034629,5.174762722,0.0,9.299710253,0.0,1.476248847,8.43113622,0.952132989,4.078394392,2.925575223,0.919394892,2.996354749,3.618359075,3.606802749,0.0,0.0,0.506102236,3.525625669,4.663388899,0.924693998,5.655750283,1.865321446,19.28631692,0.518645718,1.132261229,1.275973243,2.593859335,6.756675879,1.700555209,0.0,24.31787604,2.642232134,9.396082191,9.201053828,4.790860739,1.846195998,0.0,0.790317284,1.382828145,25.06535516,0
RNA132_FPKM,8.576140953,6.985175767,6.438747403,0.169049075,2.534868235,6.981403999,3.712607763,4.209832017,1.281174021,6.702727225,1.511184383,9.151450619,8.433188671,1.031369184,6.719524172,2.428156457,3.365675564,19.08704587,5.922557602,2.355802395,1.260620427,2.937588595,4.807303053,1.13242553,0.0,1.264000106,8.399560986,4.973628904,0.0,9.164033574,1.595654007,1.023311612,6.678321918,6.504535785,18.13426064,1.111962357,1.152743373,3.501931225,1.585244551,2.680784474,3.849843626,1.935507091,0.80189755,12.56745281,3.323123727,9.008154573,6.683071133,1.603795099,8.826287886,0.621994775,2.410478156,2.232431474,9.327191442,9.894176838,4.299402911,0.0,2.032207067,11.22596304,2.355802395,1.167009999,0.0,0.0,3.108799028,5.025592086,3.397024605,7.556015331,5.316412846,8.299648034,1.185516938,0.184959576,0.714417817,2.736715717,0.854195216,4.303984906,1.392607238,11.14368478,2.033938114,7.409096162,23.71193468,3.179652365,3.014750737,0.604451333,1.161261181,0.0,17.95730853,0
