,TRAV18,TRAV1-2,TRBV14,TRBV17,TRBV5-1,TRBV5-7,TRBV10-3,TRBV15,TRBV6-2,TRBV7-4,TRAV41,TRDV2,TRBV6-8,TRAV6,TRAV8-2,TRBV4-2,TRBV23-1,TRBV13,TRGV10,TRBV28,TRAV16,TRAV17,TRAV12-3,TRAV8-6,TRAV14DV4,TRAV9-2,TRAV8-4,TRAV13-2,TRAV19,TRBV9,TRBV10-1,TRBV7-3,TRBV5-3,TRBV6-4,TRBV4-1,TRGV11,TRGV5,TRGV8,TRGV9,TRGV3,TRGV4,TRBV20OR9-2,TRBV18,TRBV6-7,TRAV25,TRAV26-1,TRAV24,TRAV22,TRAV23DV6,TRAV20,TRAV21,TRBV7-6,TRBV5-5,TRBV6-6,TRBV6-5,TRBV11-1,TRDV3,TRBV7-9,TRBV29-1,TRGV2,TRBV20-1,TRBV19,TRBV12-4,TRBV7-7,TRAV4,TRAV5,TRAV12-2,TRAV13-1,TRAV7,TRAV9-1,TRAV12-1,TRAV10,TRAV8-3,TRBV7-1,TRBV10-2,TRGV1,TRBV6-1,TRDV1,TRAV8-7,TRBV2,TRAV8-1,TRAV2,TRAV3,TRBV5-4,TRAV30,TRBV3-1,TRAV29DV5,TRAV34,TRAV26-2,TRAV36DV7,TRAV38-2DV8,TRAV38-1,TRAV27,TRBV27,TRBV24-1,TRBV5-6,TRAV1-1,TRBV16,TRBV12-3,TRBV30,TRBV25-1,TRBV12-5,TRBV7-2,TRAV40,TRAV39,TRBV11-3,Diagnosis
RNA1_FPKM,0.0,1.383323245,0.0,0.0,3.167943593,0.0,4.749266608,1.509591977,1.311547039,0.457880564,9.693607868,3.97211389,0.0,2.949589522,2.2457181,1.222188889,0.915761127,0.84965003,13.34366161,21.3878597,8.933991284,7.550131472,5.176689782,3.823425135,3.364614119,7.05684918,4.742822555,4.068994717,12.07777426,0.407396296,0.0,0.0,0.0,0.0,6.602441319,0.0,1.583088869,3.904214507,3.52563357,3.106681255,10.39204049,0.0,1.113676792,0.0,0.591381721,3.698430065,2.547711533,1.027270834,0.97117699,1.56536508,6.021863624,1.01329436,3.631646985,0.818992555,6.200174984,0.436496032,0.373846013,8.241616296,1.383323245,3.504806374,4.039437854,2.446591889,3.52207143,0.0,6.435624667,1.354129735,3.927483397,5.958170835,0.0,0.0,6.308651473,1.467271622,4.659371132,0.0,0.402239381,0.341687216,11.49020191,2.041343327,0.0,6.792971151,1.007724454,3.880800927,3.673631344,2.920671978,1.17866881,2.031771811,5.250982115,0.0,0.728828237,2.008372192,2.011196906,0.450097891,1.308461046,23.81173626,0.625529746,0.0,2.02658872,1.144701409,10.1000423,5.331696497,2.710628901,0.0,2.822822054,0.0,3.120089461,1.215953232,1
RNA102_FPKM,0.0,4.686664589,0.0,0.0,1.502656492,0.0,3.686132292,1.253070027,0.0,1.085984499,1.121537563,1.014504772,0.0,1.119281067,1.198318625,0.99382319,0.434310837,0.604435269,12.21682208,6.418210759,2.977908914,6.851009873,4.533048207,2.015040808,6.560984159,2.486629525,3.69580662,1.470476614,1.61370722,0.193212641,0.0,0.0,0.0,0.0,2.828646013,0.0,1.774876871,2.576476118,2.345568888,5.894195378,6.681733331,0.0,2.993326526,0.0,2.431096855,1.964776467,1.318336884,0.649594225,3.685091794,1.670562418,4.17448867,2.114679087,1.507264233,3.107708307,6.065694089,0.0,0.709204049,3.474901508,2.99947966,4.294538081,4.926743402,12.42374695,2.041759118,0.0,7.059286753,2.997400463,2.878974727,4.60550104,0.0,0.0,3.324817332,1.988393857,4.419948809,0.0,0.381533824,1.944746521,5.826006774,3.550279174,0.0,6.086193602,1.911854402,1.299395262,3.484944576,1.662329287,0.447198399,0.0,4.499142762,0.431821949,0.0,0.634996602,2.289385145,0.640393174,0.709204049,4.284187014,0.593330159,0.0,1.537998499,0.0,6.448998623,1.517334098,0.0,2.0169202,0.956438125,0.0,0.910609428,2.114679087,2
RNA104_FPKM,0.504660344,0.920739344,0.0,0.0,2.38434386,0.0,3.419616488,2.110121371,1.047595633,0.213381361,4.846893106,0.569411315,0.217135872,0.732905653,1.569542574,1.138953584,3.200033569,0.989671701,14.02463736,6.711191891,2.025018541,1.835456812,4.081594195,1.319562268,9.231582854,5.072825634,4.419481092,4.694461983,1.426619058,0.379709397,0.0,0.186507134,0.0,0.0,3.572284718,0.0,4.961898065,4.587136676,2.431998038,4.273494654,13.44963802,0.0,2.07561004,0.645495789,3.857548876,3.721961452,2.37410427,0.478557223,1.267051053,5.47000812,6.042963942,1.321999696,3.384157088,4.388142825,14.98596588,0.0,0.870911097,5.12000792,1.289114131,6.53177481,9.320531188,18.90906873,1.2764135,0.0,2.81116873,5.678105965,9.315670257,6.580084766,0.0,0.0,6.314058719,1.757865699,3.690377911,0.389701749,1.124507718,1.591988026,9.230354517,1.585170091,0.0,7.912672079,2.034513708,3.403606267,1.9968561,6.939955971,1.098330018,1.136011633,5.524436062,0.424317091,0.679053674,5.198556407,2.061563961,2.516603674,1.045130702,5.54723505,2.914466269,1.156720178,2.077341236,0.0,15.20364142,3.974592278,1.165828211,0.720423075,1.503014639,0.233575181,1.341935192,1.321999696,1
RNA108_FPKM,0.182697015,1.600304218,0.0,0.0,0.369994367,0.0,1.966600495,1.528081462,1.517269565,0.0,2.39314187,6.340087747,0.0,0.995262298,2.557275555,0.883705425,1.158749188,0.430079254,13.66362739,6.62737163,3.177300899,1.162932523,1.813806973,2.006628667,15.70389226,5.510474483,4.114905371,4.314734092,2.582830057,0.0,0.0,0.0,0.234363517,0.0,3.449244834,0.173621353,1.456695051,3.264539851,3.846774761,3.294303497,5.726988262,0.0,3.757456394,0.0,1.795803926,3.144607619,1.875575206,1.039811756,1.769459614,3.763065642,3.985291573,0.615398794,3.675909495,2.90133681,7.648956721,0.0,0.567614888,3.939351612,2.000237981,6.799506611,8.566784396,16.0239219,0.792174911,0.0,7.532209151,0.913701744,5.421041064,6.924305444,0.0,0.0,5.912580309,0.848609535,7.074379101,0.0,0.407214281,1.210450196,7.820629066,0.860997791,0.0,6.684971434,4.420008439,3.003827574,3.56344444,2.956234075,0.477298638,1.645325564,3.600542199,0.460887223,1.229620698,3.388150665,1.62866404,2.277891412,1.513699519,7.272281585,1.688509962,0.209340329,0.0,1.853954743,10.22348228,12.23260084,0.633166214,0.391361657,1.632797705,0.0,0.24286008,0.615398794,1
RNA109_FPKM,0.545250426,4.375940954,0.0,0.0,1.716985152,0.0,0.869095033,1.519557865,0.565825914,0.230538044,4.521720217,14.30095493,0.0,2.770976038,2.401739411,1.406008486,1.843613432,9.407316695,11.08845387,12.74123836,1.701328753,3.13904544,5.611400096,3.420894236,2.069562663,4.66782986,3.580408271,3.900523847,4.280596255,0.41003458,0.194166751,0.0,0.0,0.0,7.074456601,0.0,1.593413282,6.321793342,5.300071945,4.318185145,3.60299248,0.0,2.615594204,0.0,3.769970205,2.680263112,1.165666687,1.378736769,2.737101025,1.575699165,7.693213738,1.019958351,1.827811032,5.358338022,5.070817445,0.0,0.376267026,2.765304995,3.18255673,3.674703035,2.710591572,4.490686279,0.393875581,0.0,3.643800738,1.590162385,7.187661734,4.66447633,0.0,0.0,8.231428818,1.476879049,5.393328343,0.0,0.404844269,1.719671714,4.586346546,1.198580642,0.0,7.217567662,2.197627099,3.216880228,4.776221245,7.790417444,2.372840793,1.226957694,6.308314039,0.0,0.0,1.572295392,1.821900369,0.226619551,2.634057222,4.752260891,1.469126403,0.0,3.467817619,0.0,9.188867069,6.261042054,0.629685531,0.0,3.450214484,0.0,1.449366943,0.0,0
RNA110_FPKM,0.682878982,3.550164082,0.555091382,0.0,1.728170793,0.0,0.0,1.249011528,0.531526182,0.0,8.048216572,1.877884437,0.0,0.743729584,3.185159916,2.31120782,0.649472914,0.602585832,6.602019381,16.09615231,2.054812021,1.551927285,4.141686872,2.677956792,4.065018148,1.525211939,5.7658865,6.961951391,3.21698878,0.770427569,0.0,0.756843204,0.0,0.0,10.06916978,0.0,0.408273734,1.444515288,1.601902259,2.377963983,7.751793223,0.0,4.738550152,0.0,1.677501625,2.238113609,0.437898839,0.971263047,2.571148063,1.295157274,14.23469252,6.131974531,0.858476434,5.614347719,4.5802443,0.0,0.0,3.463593683,2.242289194,5.247058952,2.182567206,2.721619131,0.555091382,0.0,4.56405193,1.066950008,4.895206551,6.885649076,0.0,0.0,3.755784291,2.180212679,5.286805021,0.0,0.380251397,0.0,5.619617372,0.643397756,0.0,7.315361452,1.111699478,4.101051612,3.763005422,2.62346684,0.0,0.768457166,3.843924333,0.0,0.0,1.477061385,2.091900266,0.425493773,0.883685654,7.569766721,0.0,0.391144015,1.724574375,0.0,6.978973277,5.713497356,0.591514701,0.182724211,2.47842616,0.473814832,2.723263614,0.574916074,1
RNA114_FPKM,0.318093922,1.392488069,0.0,0.0,0.321996915,0.0,0.76048248,1.32964419,0.0,0.806505916,0.624827346,2.556735377,0.0,0.865936177,1.112651708,1.691697125,0.806505916,1.12251037,10.65984514,5.766921675,1.063338041,2.313141338,1.929128301,0.873082961,1.646450657,2.308676191,1.193561202,1.36531757,2.547197153,0.53831279,0.0,0.0,0.0,0.0,2.626270997,0.0,5.324025986,13.15722701,2.903758982,1.042421236,5.69543812,0.0,0.653872787,0.0,1.215383477,2.21516028,0.612075768,0.904782065,2.73731151,0.689304317,2.651948744,0.357044198,1.599372011,1.262369951,2.21858151,0.0,0.658488359,1.411526055,1.74065057,5.402320486,17.95908953,5.07047286,0.517098493,0.0,8.502990437,11.92704255,1.572452875,3.693062211,0.0,0.0,3.910301164,0.369291096,4.309086871,0.0,0.531498705,0.902836297,5.060296326,0.299703053,0.0,8.476539694,1.183467661,1.608563804,1.213412074,3.987389986,0.0,0.536936031,2.536334905,0.801884105,0.642024429,0.393149791,1.417165073,1.387534111,1.481790274,1.446460475,0.36735256,0.182241309,0.892444427,0.0,3.59266167,2.504609413,0.551028841,0.0,0.710298357,0.0,0.211421942,0.535566297,1
RNA115_FPKM,1.772275681,6.40144937,0.0,0.0,6.936882729,0.0,2.119025271,0.926220919,0.367830802,1.123743536,1.392502321,1.049806283,0.0,1.158120742,2.893323475,5.313016235,1.123743536,0.834012085,14.31681432,26.56487042,1.42213003,6.1224069,2.540802123,3.336048342,4.587156722,7.323104484,7.482183809,2.092243383,2.838759244,0.999843608,0.0,0.0,0.0,0.0,3.763116192,0.0,3.24924157,1.999490512,2.067484714,7.841577317,26.06916181,0.0,4.919396885,0.453372849,2.902581407,6.09900458,1.364083906,34.95694066,5.147926325,1.728718047,3.182862448,1.193573418,2.450913677,5.627432061,9.129381071,0.214336503,0.733930635,7.640704379,1.939804228,12.61457381,2.454673237,5.93327076,2.304831428,0.0,4.54071227,3.987620283,15.59611219,6.498344165,0.0,0.0,4.128359823,1.440367459,6.631853744,0.410421737,0.0,0.167781693,2.528129793,3.172721257,0.0,98.54094064,0.494669656,2.240808333,4.657846603,10.03434892,0.694298953,1.396161808,4.821880867,0.67042621,0.0,1.533424907,11.45024693,1.325441303,2.201791905,8.664558001,1.023461961,2.030732552,1.193573418,0.0,5.719813935,16.2241397,4.502789658,0.189826003,2.573045805,0.0,3.533958631,7.161440509,1
RNA116_FPKM,0.903010633,8.302554216,1.174481188,0.0,0.48756581,0.0,2.807365475,1.509983141,0.562212793,0.916117891,2.83808277,7.335511841,0.0,0.0,1.544459436,0.349332866,0.916117891,4.037077388,20.79817617,3.493100877,1.932227667,7.224324895,3.9834126,3.116301546,2.430848223,8.26953052,4.23604756,2.519781695,4.083922102,0.0,0.0,0.0,0.0,0.0,3.621770748,0.514855776,12.09285071,5.263809304,7.191023662,8.139175586,13.74507159,0.0,3.342138255,0.0,0.197101166,4.291464246,0.0,1.198860199,1.554285825,0.0,5.560325427,1.419059011,1.589346093,1.843344295,17.2501909,0.0,0.0,2.519204729,2.767518072,10.22557229,11.92980248,6.334371828,3.327390367,0.0,1.408281348,4.063736288,3.392959423,11.47854487,0.0,0.0,12.38762011,1.258151352,4.427762297,0.0,0.0,1.025460995,12.48488826,8.338111194,0.0,4.341472332,2.016058797,0.684994897,3.521695282,1.168571512,0.471651199,0.609662977,6.777570023,0.0,0.0,2.678639918,2.816562696,0.67529242,1.495771535,9.035072995,1.042846925,0.0,0.0,4.580350511,6.800380593,4.444533123,0.417182294,0.386731032,0.0,0.501408373,0.720175904,3.040750089,1
RNA117_FPKM,0.37527171,0.821699022,0.203349202,0.0,1.266511604,0.0,3.590239469,4.903396703,0.584347242,0.0,2.703349232,8.257429767,0.0,1.430698849,3.64722617,1.088884745,0.714015074,0.662468531,9.515526789,28.81049813,4.768654873,2.388439401,12.00327328,2.94390576,26.81258038,3.98194785,3.697421978,5.034951249,1.945022145,0.0,0.0,0.415918268,0.0,0.0,2.435188584,0.0,0.299129624,1.764456337,3.474325295,3.075476967,3.360600643,0.0,6.752559761,0.0,0.0,2.921578125,0.481398112,2.669500751,1.81712907,0.813603465,2.888877895,30.96548099,1.887320318,2.97939348,15.10505839,0.0,0.582972307,4.283365063,2.875633508,7.437838511,6.997810116,9.424255109,2.033905334,0.0,3.553842787,1.40750727,5.010187565,6.881146653,0.0,0.0,9.228996495,1.525072124,6.296110529,0.0,0.0,0.0,5.76581856,2.298597204,0.0,5.688011921,1.92034956,4.271056543,3.818439761,1.821479996,0.980186964,1.267116519,4.7538027,1.183045223,0.75768572,1.855511548,2.926594102,2.105398837,0.971488901,8.108162296,3.46773786,0.0,2.527768158,0.0,9.488950356,7.758608306,1.517066496,1.607207083,2.09585169,0.0,0.249425306,0.0,0
